"","celltype"
"x2_98_4_2_1_bc0574","Astro"
"x2_75_0_2_bc0538","Astro"
"x2_52_1_2_bc1577","Astro"
"x2_94_4_2_1_bc0546","Astro"
"x2_35_3_bc1468","Astro"
"x2_98_4_2_1_bc1068","Astro"
"x2_52_3_1_bc2169","Astro"
"x2_52_0_1_bc2224","Astro"
"x2_98_4_2_2_bc1547","Astro"
"x2_98_1_1_bc0485","Astro"
"x2_75_0_1_bc2096","Astro"
"x2_52_0_1_bc2071","Astro"
"x2_35_3_bc2301","Astro"
"x2_98_4_1_1_bc0771","Astro"
"x2_35_3_bc2115","Astro"
"x2_35_3_bc2695","Astro"
"x2_52_3_2_bc1974","Astro"
"x2_35_3_bc2599","Astro"
"x2_58_0_2_bc0617","Astro"
"x2_35_1_bc1261","Astro"
"x2_35_1_bc2062","Astro"
"x2_98_1_1_bc2088","Astro"
"x2_94_4_2_1_bc0434","Astro"
"x2_98_4_2_1_bc0784","Astro"
"x2_35_3_bc1340","Astro"
"x2_75_0_3_bc1654","Astro"
"x2_75_0_2_bc0515","Astro"
"x2_52_3_2_bc2772","Astro"
"x2_41_1_1_bc2036","Astro"
"x2_94_1_1_1_bc0847","Astro"
"x2_94_1_1_2_bc0317","Astro"
"x2_98_1_1_bc0238","Astro"
"x2_35_3_bc1202","Astro"
"x2_52_0_2_bc1533","Astro"
"x2_75_0_2_bc2235","Astro"
"x2_35_1_bc4405","Astro"
"x2_52_3_1_bc0703","Astro"
"x2_35_3_bc0860","Astro"
"x2_35_1_bc2583","Astro"
"x2_52_1_2_bc1130","Astro"
"x2_52_1_1_bc1016","Astro"
"x2_98_4_2_2_bc0791","Astro"
"x2_98_4_1_2_bc1113","Astro"
"x2_35_1_bc2085","Astro"
"x2_35_1_bc2071","Astro"
"x2_35_3_bc1734","Astro"
"x2_58_0_2_bc1654","Astro"
"x2_58_0_2_bc1493","Astro"
"x2_52_3_2_bc1630","Astro"
"x2_52_3_2_bc1574","Astro"
"x2_94_1_1_1_bc0540","Astro"
"x2_52_3_2_bc2076","Astro"
"x2_98_4_2_2_bc0957","Astro"
"x2_52_0_2_bc0259","Astro"
"x2_35_3_bc2316","Astro"
"x2_52_0_2_bc1359","Astro"
"x2_94_4_1_2_bc1037","Astro"
"x2_52_3_2_bc1334","Astro"
"x2_35_1_bc2634","Astro"
"x2_94_4_1_1_bc1237","Astro"
"x2_75_0_1_bc2078","Astro"
"x2_35_3_bc1102","Astro"
"x2_52_3_2_bc2629","Astro"
"x2_98_4_1_1_bc2414","Astro"
"x2_98_4_2_2_bc0605","Astro"
"x2_58_0_1_bc1300","Astro"
"x2_41_1_1_bc1871","Astro"
"x2_75_0_1_bc1564","Astro"
"x2_41_1_1_bc3467","Astro"
"x2_52_0_2_bc0650","Astro"
"x2_94_1_1_1_bc0396","Astro"
"x2_52_0_2_bc1353","Astro"
"x2_58_0_2_bc1539","Astro"
"x2_35_1_bc1426","Astro"
"x2_52_1_1_bc1838","Astro"
"x2_58_0_2_bc0437","Astro"
"x2_35_1_bc2168","Astro"
"x2_52_1_1_bc1609","Astro"
"x2_52_1_2_bc2437","Astro"
"x2_75_0_1_bc1586","Astro"
"x2_35_1_bc2357","Astro"
"x2_52_3_2_bc2000","Astro"
"x2_98_4_2_1_bc1907","Astro"
"x2_41_1_1_bc0768","Astro"
"x2_41_1_1_bc3415","Astro"
"x2_41_1_1_bc3151","Astro"
"x2_35_1_bc1694","Astro"
"x2_52_1_2_bc1847","Astro"
"x2_35_3_bc1405","Astro"
"x2_75_0_2_bc1604","Astro"
"x2_52_0_1_bc1128","Astro"
"x2_35_1_bc2378","Astro"
"x2_98_4_1_2_bc0582","Astro"
"x2_98_4_2_1_bc1442","Astro"
"x2_98_4_2_2_bc0884","Astro"
"x2_75_0_4_bc3029","Astro"
"x2_35_1_bc2261","Astro"
"x2_98_4_2_2_bc0846","Astro"
"x2_98_4_2_1_bc0443","Astro"
"x2_52_3_1_bc1241","Astro"
"x2_94_1_1_1_bc0112","eL2/3"
"x2_75_0_2_bc0010","eL2/3"
"x2_35_0_bc0098","eL2/3"
"x2_35_0_bc0309","eL2/3"
"x2_35_3_bc0507","eL2/3"
"x2_75_0_2_bc0756","eL2/3"
"x2_52_3_2_bc0280","eL2/3"
"x2_35_3_bc0417","eL2/3"
"x2_75_0_3_bc0642","eL2/3"
"x2_94_1_1_1_bc0137","eL2/3"
"x2_52_3_2_bc0551","eL2/3"
"x2_58_0_1_bc0727","eL2/3"
"x2_98_4_1_1_bc0049","eL2/3"
"x2_75_0_4_bc0479","eL2/3"
"x2_94_4_2_2_bc0117","eL2/3"
"x2_75_0_4_bc0083","eL2/3"
"x2_98_4_1_1_bc0572","eL2/3"
"x2_52_3_2_bc0257","eL2/3"
"x2_94_1_1_1_bc0059","eL2/3"
"x2_52_3_2_bc0799","eL2/3"
"x2_52_1_2_bc0210","eL2/3"
"x2_98_4_1_2_bc0296","eL2/3"
"x2_75_0_2_bc0095","eL2/3"
"x2_52_3_1_bc0667","eL2/3"
"x2_35_3_bc0130","eL2/3"
"x2_98_4_2_2_bc0293","eL2/3"
"x2_58_0_1_bc0185","eL2/3"
"x2_94_1_1_1_bc0241","eL2/3"
"x2_98_4_1_1_bc0284","eL2/3"
"x2_52_0_1_bc0157","eL2/3"
"x2_58_0_1_bc0075","eL2/3"
"x2_75_0_4_bc0489","eL2/3"
"x2_94_4_2_1_bc0013","eL2/3"
"x2_35_0_bc0401","eL2/3"
"x2_94_1_1_2_bc1358","eL2/3"
"x2_98_4_1_2_bc0143","eL2/3"
"x2_98_4_1_2_bc0237","eL2/3"
"x2_94_1_1_1_bc0312","eL2/3"
"x2_94_1_2_bc0422","eL2/3"
"x2_58_0_1_bc0187","eL2/3"
"x2_52_1_1_bc0601","eL2/3"
"x2_94_1_1_2_bc1269","eL2/3"
"x2_58_0_1_bc0906","eL2/3"
"x2_75_0_2_bc0273","eL2/3"
"x2_75_0_3_bc0274","eL2/3"
"x2_75_0_2_bc0137","eL2/3"
"x2_75_0_2_bc0065","eL2/3"
"x2_41_1_1_bc0813","eL2/3"
"x2_52_3_2_bc0057","eL2/3"
"x2_52_1_1_bc0555","eL2/3"
"x2_75_0_3_bc0211","eL2/3"
"x2_98_4_1_2_bc0055","eL2/3"
"x2_94_1_1_2_bc1215","eL2/3"
"x2_58_0_1_bc1519","eL2/3"
"x2_35_0_bc0625","eL2/3"
