"","celltype"
"Dat1_Cell_00403","Astro"
"Dat2_Cell_00076","Astro"
"Dat2_Cell_00902","Astro"
"Dat2_Cell_00156","Astro"
"Dat2_Cell_00644","Astro"
"Dat2_Cell_00199","Astro"
"Dat1_Cell_01148","Astro"
"Dat1_Cell_00594","Astro"
"Dat1_Cell_00440","Astro"
"Dat1_Cell_00563","Astro"
"Dat1_Cell_01206","eL2/3"
"Dat2_Cell_00939","eL2/3"
"Dat1_Cell_00886","eL2/3"
"Dat1_Cell_01192","eL2/3"
"Dat1_Cell_00992","eL2/3"
"Dat1_Cell_00918","eL2/3"
"Dat1_Cell_00593","eL2/3"
"Dat2_Cell_00419","eL2/3"
"Dat1_Cell_00892","eL2/3"
"Dat1_Cell_00493","eL2/3"
"Dat2_Cell_00211","eL4"
"Dat2_Cell_00677","eL4"
"Dat1_Cell_01006","eL4"
"Dat1_Cell_00958","eL4"
"Dat2_Cell_00780","eL4"
"Dat2_Cell_00615","eL4"
"Dat1_Cell_01030","eL4"
"Dat2_Cell_00639","eL4"
"Dat1_Cell_01223","eL4"
"Dat1_Cell_00479","eL4"
"Dat2_Cell_00096","eL5"
"Dat1_Cell_00747","eL5"
"Dat1_Cell_00388","eL5"
"Dat1_Cell_01051","eL5"
"Dat2_Cell_00544","eL5"
"Dat2_Cell_00424","eL5"
"Dat1_Cell_00788","eL5"
"Dat2_Cell_00662","eL5"
"Dat2_Cell_00388","eL5"
"Dat2_Cell_00536","eL5"
"Dat1_Cell_01003","eL6"
"Dat1_Cell_00223","eL6"
"Dat1_Cell_00008","eL6"
"Dat1_Cell_00159","eL6"
"Dat1_Cell_00413","eL6"
"Dat2_Cell_00702","eL6"
"Dat2_Cell_00349","eL6"
"Dat1_Cell_00665","eL6"
"Dat1_Cell_01369","eL6"
"Dat2_Cell_00405","eL6"
"Dat1_Cell_00709","Endo"
"Dat2_Cell_00402","Endo"
"Dat1_Cell_01300","Endo"
"Dat1_Cell_00857","Endo"
"Dat2_Cell_00358","Endo"
"Dat2_Cell_00184","Endo"
"Dat1_Cell_00516","Endo"
"Dat1_Cell_00374","Endo"
"Dat1_Cell_00457","Endo"
"Dat2_Cell_00279","Endo"
"Dat2_Cell_00752","Micro"
"Dat2_Cell_00271","Micro"
"Dat1_Cell_01244","Micro"
"Dat1_Cell_01291","Micro"
"Dat1_Cell_00168","Micro"
"Dat1_Cell_01232","Micro"
"Dat1_Cell_00476","Micro"
"Dat2_Cell_00316","Micro"
"Dat1_Cell_00618","Micro"
"Dat1_Cell_01365","Micro"
"Dat1_Cell_00534","Oligo"
"Dat1_Cell_01194","Oligo"
"Dat1_Cell_00645","Oligo"
"Dat1_Cell_00934","Oligo"
"Dat1_Cell_01120","Oligo"
"Dat1_Cell_00714","Oligo"
"Dat2_Cell_00492","Oligo"
"Dat1_Cell_00897","Oligo"
"Dat2_Cell_00311","Oligo"
"Dat1_Cell_00202","Oligo"
"Dat1_Cell_00853","PVALB"
"Dat2_Cell_00101","PVALB"
"Dat1_Cell_00486","PVALB"
"Dat1_Cell_01317","PVALB"
"Dat2_Cell_00123","PVALB"
"Dat2_Cell_00685","PVALB"
"Dat2_Cell_00333","PVALB"
"Dat1_Cell_00927","PVALB"
"Dat2_Cell_00327","PVALB"
"Dat2_Cell_00795","PVALB"
"Dat2_Cell_00131","Smc"
"Dat2_Cell_00769","Smc"
"Dat1_Cell_01339","Smc"
"Dat2_Cell_00453","Smc"
"Dat2_Cell_00371","Smc"
"Dat1_Cell_01386","Smc"
"Dat2_Cell_00118","Smc"
"Dat2_Cell_00521","Smc"
"Dat2_Cell_00514","Smc"
"Dat2_Cell_00479","Smc"
"Dat1_Cell_00691","SST"
"Dat2_Cell_00750","SST"
"Dat1_Cell_00754","SST"
"Dat2_Cell_00413","SST"
"Dat1_Cell_00235","SST"
"Dat1_Cell_01091","SST"
"Dat1_Cell_00938","SST"
"Dat1_Cell_00898","SST"
"Dat1_Cell_00123","SST"
"Dat1_Cell_00122","SST"
"Dat1_Cell_00277","VIP"
"Dat2_Cell_00446","VIP"
"Dat1_Cell_00553","VIP"
"Dat1_Cell_00443","VIP"
"Dat2_Cell_00054","VIP"
"Dat2_Cell_00236","VIP"
"Dat1_Cell_00380","VIP"
"Dat2_Cell_00534","VIP"
"Dat1_Cell_00883","VIP"
"Dat1_Cell_00462","VIP"
