"","celltype"
"F2S4_171120_024_C01","Astro"
"F2S4_170323_049_B01","Astro"
"F2S4_170320_001_F01","Astro"
"F2S4_160404_011_G01","Astro"
"F2S4_171120_028_C01","Astro"
"F2S4_171120_015_A01","Astro"
"F2S4_171120_002_E01","Astro"
"F2S4_160121_008_G01","Astro"
"F2S4_171120_019_D01","Astro"
"F2S4_171120_024_E01","Astro"
"F2S4_160901_005_B01","Astro"
"F2S4_171120_024_G01","Astro"
"F2S4_171120_003_E01","Astro"
"F2S4_160405_034_H01","Astro"
"F2S4_160901_008_E01","Astro"
"F2S4_171120_011_F01","Astro"
"F2S4_160419_001_A01","Astro"
"F2S4_160405_042_H01","Astro"
"F2S4_160404_010_A01","Astro"
"F2S4_171120_004_H01","Astro"
"F2S4_160422_012_F01","eL2/3"
"F2S4_160422_008_D01","eL2/3"
"F2S4_160128_002_D01","eL2/3"
"F2S4_160126_022_D01","eL2/3"
"F2S4_160113_005_F01","eL2/3"
"F2S4_160128_005_A01","eL2/3"
"F2S4_160516_014_A01","eL2/3"
"F2S4_170203_007_F01","eL2/3"
"F2S4_160516_011_C01","eL2/3"
"F2S4_160701_046_C01","eL2/3"
"F2S4_160422_010_G01","eL2/3"
"F2S4_160701_042_D01","eL2/3"
"F2S4_160330_018_B01","eL2/3"
"F2S4_160129_029_G01","eL2/3"
"F2S4_160113_004_F01","eL2/3"
"F2S4_160428_006_C01","eL2/3"
"F1S4_180124_313_E01","eL2/3"
"F2S4_160428_005_B01","eL2/3"
"F2S4_170201_011_E01","eL2/3"
"F2S4_160516_010_A01","eL2/3"
"F2S4_160701_034_C01","eL4"
"F2S4_160719_001_D01","eL4"
"F2S4_160428_018_D01","eL4"
"F2S4_160426_021_F01","eL4"
"F2S4_160129_024_G01","eL4"
"F2S4_170126_018_D01","eL4"
"F2S4_160321_006_A01","eL4"
"F2S4_160120_009_G01","eL4"
"F2S4_151217_006_E01","eL4"
"F2S4_170116_012_B01","eL4"
"F2S4_160701_029_D01","eL4"
