"","celltype"
"Dat1_Cell_00008","eL6"
"Dat1_Cell_00009","eL4"
"Dat1_Cell_00012","eL2/3"
"Dat1_Cell_00014","eL6"
"Dat1_Cell_00015","eL5"
"Dat1_Cell_00016","eL6"
"Dat1_Cell_00019","eL6"
"Dat1_Cell_00020","eL6"
"Dat1_Cell_00021","eL6"
"Dat1_Cell_00023","eL4"
"Dat1_Cell_00024","eL2/3"
"Dat1_Cell_00025","eL2/3"
"Dat1_Cell_00026","eL4"
"Dat1_Cell_00027","eL2/3"
"Dat1_Cell_00028","eL6"
"Dat1_Cell_00030","Oligo"
"Dat1_Cell_00033","eL6"
"Dat1_Cell_00034","eL5"
"Dat1_Cell_00035","eL4"
"Dat1_Cell_00036","eL6"
"Dat1_Cell_00037","eL4"
"Dat1_Cell_00039","eL2/3"
"Dat1_Cell_00041","eL2/3"
"Dat1_Cell_00042","eL5"
"Dat1_Cell_00043","eL4"
"Dat1_Cell_00046","eL4"
"Dat1_Cell_00048","eL5"
"Dat1_Cell_00049","eL4"
"Dat1_Cell_00050","Oligo"
"Dat1_Cell_00051","eL6"
"Dat1_Cell_00053","eL5"
"Dat1_Cell_00054","Oligo"
"Dat1_Cell_00055","Oligo"
"Dat1_Cell_00056","eL2/3"
"Dat1_Cell_00059","eL4"
"Dat1_Cell_00061","eL2/3"
"Dat1_Cell_00063","eL2/3"
"Dat1_Cell_00064","eL6"
"Dat1_Cell_00066","eL2/3"
"Dat1_Cell_00068","Oligo"
"Dat1_Cell_00069","eL6"
"Dat1_Cell_00070","eL4"
"Dat1_Cell_00071","Oligo"
"Dat1_Cell_00073","eL6"
"Dat1_Cell_00075","eL5"
"Dat1_Cell_00076","eL4"
"Dat1_Cell_00077","eL2/3"
"Dat1_Cell_00078","eL6"
"Dat1_Cell_00080","eL6"
"Dat1_Cell_00084","eL5"
"Dat1_Cell_00085","Oligo"
"Dat1_Cell_00087","eL2/3"
"Dat1_Cell_00088","Oligo"
"Dat1_Cell_00091","Oligo"
"Dat1_Cell_00092","eL4"
"Dat1_Cell_00093","eL4"
"Dat1_Cell_00094","eL6"
"Dat1_Cell_00095","eL4"
"Dat1_Cell_00096","eL6"
"Dat1_Cell_00098","eL5"
"Dat1_Cell_00099","eL4"
"Dat1_Cell_00100","eL6"
"Dat1_Cell_00101","eL4"
"Dat1_Cell_00102","eL2/3"
"Dat1_Cell_00104","eL2/3"
"Dat1_Cell_00105","eL4"
"Dat1_Cell_00106","eL4"
"Dat1_Cell_00107","Oligo"
"Dat1_Cell_00109","eL6"
"Dat1_Cell_00112","eL6"
"Dat1_Cell_00114","eL6"
"Dat1_Cell_00115","Oligo"
"Dat1_Cell_00116","eL4"
"Dat1_Cell_00117","eL4"
"Dat1_Cell_00120","eL6"
"Dat1_Cell_00121","Oligo"
"Dat1_Cell_00124","eL6"
"Dat1_Cell_00125","eL2/3"
"Dat1_Cell_00126","eL4"
"Dat1_Cell_00128","eL2/3"
"Dat1_Cell_00131","Oligo"
"Dat1_Cell_00137","eL6"
"Dat1_Cell_00138","eL6"
"Dat1_Cell_00139","eL5"
"Dat1_Cell_00141","eL5"
"Dat1_Cell_00144","eL2/3"
"Dat1_Cell_00145","eL4"
"Dat1_Cell_00146","Oligo"
"Dat1_Cell_00148","eL2/3"
"Dat1_Cell_00149","Oligo"
"Dat1_Cell_00151","eL6"
"Dat1_Cell_00152","eL2/3"
"Dat1_Cell_00153","eL6"
"Dat1_Cell_00154","eL6"
"Dat1_Cell_00155","eL2/3"
"Dat1_Cell_00156","eL5"
"Dat1_Cell_00158","Oligo"
"Dat1_Cell_00159","eL6"
"Dat1_Cell_00161","eL5"
"Dat1_Cell_00162","Oligo"
"Dat1_Cell_00167","eL6"
"Dat1_Cell_00170","eL6"
"Dat1_Cell_00172","eL6"
"Dat1_Cell_00176","eL6"
"Dat1_Cell_00178","Oligo"
"Dat1_Cell_00179","eL6"
"Dat1_Cell_00181","eL6"
"Dat1_Cell_00182","eL5"
"Dat1_Cell_00183","eL4"
"Dat1_Cell_00184","eL2/3"
"Dat1_Cell_00187","eL6"
"Dat1_Cell_00190","eL4"
"Dat1_Cell_00191","eL6"
"Dat1_Cell_00197","eL6"
"Dat1_Cell_00198","eL6"
"Dat1_Cell_00202","Oligo"
"Dat1_Cell_00203","eL6"
"Dat1_Cell_00204","eL5"
"Dat1_Cell_00209","eL2/3"
"Dat1_Cell_00210","eL5"
"Dat1_Cell_00214","eL4"
"Dat1_Cell_00216","eL2/3"
"Dat1_Cell_00217","eL6"
"Dat1_Cell_00219","eL4"
"Dat1_Cell_00220","eL6"
"Dat1_Cell_00221","eL2/3"
"Dat1_Cell_00222","eL2/3"
"Dat1_Cell_00223","eL6"
"Dat1_Cell_00225","eL5"
"Dat1_Cell_00226","eL6"
"Dat1_Cell_00227","eL4"
"Dat1_Cell_00229","eL6"
"Dat1_Cell_00232","eL6"
"Dat1_Cell_00234","eL6"
"Dat1_Cell_00237","eL2/3"
"Dat1_Cell_00241","eL2/3"
"Dat1_Cell_00243","eL2/3"
"Dat1_Cell_00252","eL2/3"
"Dat1_Cell_00253","Oligo"
"Dat1_Cell_00254","eL6"
"Dat1_Cell_00255","eL6"
"Dat1_Cell_00256","eL6"
"Dat1_Cell_00259","eL6"
"Dat1_Cell_00261","eL5"
"Dat1_Cell_00262","eL6"
"Dat1_Cell_00264","Oligo"
"Dat1_Cell_00265","eL5"
"Dat1_Cell_00266","Oligo"
"Dat1_Cell_00267","Oligo"
"Dat1_Cell_00268","eL6"
"Dat1_Cell_00270","eL6"
"Dat1_Cell_00271","eL2/3"
"Dat1_Cell_00273","eL6"
"Dat1_Cell_00274","Oligo"
"Dat1_Cell_00276","Oligo"
"Dat1_Cell_00279","eL6"
"Dat1_Cell_00282","eL6"
"Dat1_Cell_00285","Oligo"
"Dat1_Cell_00287","eL2/3"
"Dat1_Cell_00288","Oligo"
"Dat1_Cell_00290","eL2/3"
"Dat1_Cell_00291","eL6"
"Dat1_Cell_00295","Oligo"
"Dat1_Cell_00299","eL2/3"
"Dat1_Cell_00301","Oligo"
"Dat1_Cell_00302","eL4"
"Dat1_Cell_00305","eL6"
"Dat1_Cell_00306","eL2/3"
"Dat1_Cell_00309","eL2/3"
"Dat1_Cell_00310","eL6"
"Dat1_Cell_00314","eL6"
"Dat1_Cell_00319","Oligo"
"Dat1_Cell_00320","eL6"
"Dat1_Cell_00324","eL6"
"Dat1_Cell_00325","eL4"
"Dat1_Cell_00327","eL6"
"Dat1_Cell_00328","eL6"
"Dat1_Cell_00329","eL4"
"Dat1_Cell_00330","eL2/3"
"Dat1_Cell_00332","Oligo"
"Dat1_Cell_00333","Oligo"
"Dat1_Cell_00335","eL6"
"Dat1_Cell_00337","eL6"
"Dat1_Cell_00338","eL5"
"Dat1_Cell_00342","eL6"
"Dat1_Cell_00344","Oligo"
"Dat1_Cell_00346","eL6"
"Dat1_Cell_00349","eL4"
"Dat1_Cell_00350","eL4"
"Dat1_Cell_00351","Oligo"
"Dat1_Cell_00353","eL4"
"Dat1_Cell_00355","eL6"
"Dat1_Cell_00356","eL4"
"Dat1_Cell_00357","eL4"
"Dat1_Cell_00358","eL4"
"Dat1_Cell_00360","eL6"
"Dat1_Cell_00365","eL2/3"
"Dat1_Cell_00366","eL5"
"Dat1_Cell_00368","eL5"
"Dat1_Cell_00369","eL2/3"
"Dat1_Cell_00373","eL4"
"Dat1_Cell_00376","eL4"
"Dat1_Cell_00377","eL5"
"Dat1_Cell_00378","Oligo"
"Dat1_Cell_00381","eL5"
"Dat1_Cell_00382","eL2/3"
"Dat1_Cell_00384","eL6"
"Dat1_Cell_00385","Oligo"
"Dat1_Cell_00386","eL4"
"Dat1_Cell_00387","eL2/3"
"Dat1_Cell_00388","eL5"
"Dat1_Cell_00389","eL4"
"Dat1_Cell_00390","eL6"
"Dat1_Cell_00391","eL2/3"
"Dat1_Cell_00392","eL4"
"Dat1_Cell_00395","eL2/3"
"Dat1_Cell_00396","eL5"
"Dat1_Cell_00399","eL6"
"Dat1_Cell_00400","Oligo"
"Dat1_Cell_00402","Oligo"
"Dat1_Cell_00404","Oligo"
"Dat1_Cell_00405","eL6"
