"","nCell"
"x6034y8550",9
"x6534y8550",9
"x7034y8550",18
"x7534y8550",12
"x8034y8550",12
"x8534y8550",18
"x9034y8550",12
"x9534y8550",24
"x10034y8550",12
"x10534y8550",9
"x34y9050",12
"x534y9050",15
"x1034y9050",12
"x1534y9050",9
"x2034y9050",9
"x2534y9050",21
"x3034y9050",3
"x4534y9050",15
"x5034y9050",3
"x5534y9050",15
"x6034y9050",21
"x6534y9050",18
"x7034y9050",9
"x7534y9050",15
"x8034y9050",18
"x8534y9050",15
"x9034y9050",15
"x9534y9050",12
"x10034y9050",15
"x10534y9050",9
"x34y9550",15
"x534y9550",12
"x1034y9550",12
"x1534y9550",9
"x2034y9550",18
"x2534y9550",6
"x3034y9550",9
"x3534y9550",9
"x4534y9550",18
"x5034y9550",15
"x5534y9550",15
"x6034y9550",9
"x6534y9550",21
"x7034y9550",15
"x7534y9550",18
"x8034y9550",9
"x8534y9550",15
"x9034y9550",18
"x9534y9550",18
"x10034y9550",12
"x10534y9550",12
"x34y10050",21
"x534y10050",12
"x1034y10050",18
"x1534y10050",18
"x2034y10050",18
"x2534y10050",9
"x3034y10050",21
"x3534y10050",3
"x4534y10050",18
"x5034y10050",12
"x5534y10050",6
"x6034y10050",9
"x6534y10050",9
"x7034y10050",18
"x7534y10050",3
"x8034y10050",9
"x8534y10050",12
"x9034y10050",12
"x9534y10050",12
"x10034y10050",18
"x10534y10050",9
"x34y10550",15
"x534y10550",12
"x1034y10550",15
"x1534y10550",12
"x2034y10550",12
"x2534y10550",18
"x3034y10550",18
"x3534y10550",6
"x4534y10550",6
"x5034y10550",12
"x5534y10550",12
"x6034y10550",15
"x6534y10550",12
"x7034y10550",12
"x7534y10550",6
"x8034y10550",9
"x8534y10550",21
"x9034y10550",12
"x9534y10550",9
"x10034y10550",15
"x10534y10550",6
"x34y11050",12
"x534y11050",18
"x1034y11050",9
"x1534y11050",18
"x2034y11050",18
"x2534y11050",27
"x3034y11050",12
"x3534y11050",15
"x4534y11050",18
"x5034y11050",12
"x5534y11050",9
"x6034y11050",9
"x6534y11050",15
"x7034y11050",12
"x7534y11050",6
"x8034y11050",6
"x8534y11050",9
"x9034y11050",15
"x9534y11050",6
"x10034y11050",6
"x10534y11050",6
"x34y11550",12
"x534y11550",15
"x1034y11550",12
"x1534y11550",12
"x2034y11550",15
"x2534y11550",9
"x3034y11550",12
"x3534y11550",6
"x4534y11550",9
"x5034y11550",15
"x5534y11550",9
"x6034y11550",12
"x6534y11550",12
"x7034y11550",12
"x8034y11550",6
"x8534y11550",12
"x9034y11550",12
"x9534y11550",9
"x10034y11550",15
"x10534y11550",9
"x34y12050",15
"x534y12050",9
"x1034y12050",12
"x1534y12050",15
"x2034y12050",9
"x2534y12050",18
"x3034y12050",9
"x3534y12050",3
"x4534y12050",9
"x5034y12050",15
"x5534y12050",6
"x6034y12050",9
"x6534y12050",9
"x7034y12050",18
"x8034y12050",9
"x8534y12050",12
"x9034y12050",6
"x9534y12050",18
"x10034y12050",12
"x10534y12050",6
"x34y12550",15
"x534y12550",12
"x1034y12550",3
"x1534y12550",12
"x2034y12550",6
"x2534y12550",12
"x3034y12550",9
"x3534y12550",3
"x4534y12550",9
"x5034y12550",15
"x5534y12550",21
"x6034y12550",15
"x6534y12550",18
"x7034y12550",15
"x7534y12550",12
"x8034y12550",15
"x8534y12550",6
"x9034y12550",15
"x10034y12550",18
"x10534y12550",12
"x34y13050",6
"x534y13050",6
"x1034y13050",12
"x1534y13050",12
"x2034y13050",12
"x2534y13050",12
"x3034y13050",15
"x3534y13050",9
"x4534y13050",15
"x5034y13050",12
"x5534y13050",18
"x6034y13050",3
"x6534y13050",9
"x7034y13050",9
"x7534y13050",3
"x8034y13050",12
"x8534y13050",9
"x10034y13050",3
"x10534y13050",6
"x34y13550",3
"x534y13550",24
"x1034y13550",3
"x1534y13550",12
"x2034y13550",12
"x2534y13550",6
"x3034y13550",3
"x3534y13550",9
"x4534y13550",6
"x5034y13550",9
"x5534y13550",3
"x6034y13550",3
"x7034y13550",3
"x7534y13550",6
"x8034y13550",3
"x9034y13550",3
"x10034y13550",6
"x10534y13550",3
"x34y14050",12
"x534y14050",3
"x1034y14050",9
"x1534y14050",18
"x2034y14050",15
"x2534y14050",12
"x3034y14050",9
"x3534y14050",9
"x4534y14050",3
"x5034y14050",3
"x5534y14050",6
"x6034y14050",6
"x7034y14050",9
"x7534y14050",3
"x9534y14050",3
"x10034y14050",15
"x10534y14050",12
"x34y14550",6
"x1034y14550",12
"x1534y14550",6
"x2034y14550",6
"x2534y14550",15
"x3034y14550",12
"x3534y14550",3
"x34y15050",9
"x534y15050",3
"x1034y15050",3
"x2034y15050",3
"x2534y15050",6
"x3034y15050",12
"x3534y15050",6
"x34y15550",12
"x534y15550",9
"x1034y15550",12
"x1534y15550",3
"x2534y15550",3
"x3534y15550",3
"x1034y16050",12
"x1534y16050",21
"x2034y16050",9
"x2534y16050",6
"x3034y16050",6
"x2034y16550",6
"x2534y16550",24
"x3034y16550",9
"x3034y17050",3
