,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
13x27,0,0,0.96092136,0,0,0,0,0,0.03907864
13x28,0,0.232777917,0.426436071,0.004717027,0.086816764,0,0,0,0.249252221
13x29,0.164511087,0.046649907,0.788839006,0,0,0,0,0,0
13x30,0,0.001936671,0.998063329,0,0,0,0,0,0
13x31,0,0.057976695,0.646935464,0.295087841,0,0,0,0,0
13x32,0.302756463,0,0.056458406,0.406688344,0.234096786,0,0,0,0
13x33,0,0.107061013,0.613438242,0,0.20410431,0,0,0,0.075396435
13x34,0.141600128,0.061947696,0,0,0.168103447,0.403091835,0,0.225256894,0
13x9,0,0,0,0,0,0.128595228,0,0.871404772,0
14x10,0.039492898,0,0,0.32825062,0,0.284340701,0,0.332038686,0.015877095
14x11,0,0.166475,0,0.434547145,0,0.362702815,0,0.036275041,0
14x12,0,0,0,0.401994452,0,0,0,0.598005548,0
14x13,0,0,0.161781475,0.268362677,0,0,0,0.569855847,0
14x14,0,0,0.058725379,0.328997287,0,0,0,0.452446137,0.159831196
14x15,0,0.010728848,0.044669633,0.345416951,0,0,0,0,0.599184568
14x16,0.393021794,0,0,0,0,0.034504595,0,0.461174945,0.111298667
14x17,0.710718485,0.17801543,0,0,0,0,0,0,0.111266085
14x18,0,0.008750062,0.991249938,0,0,0,0,0,0
14x19,0.022078582,0.011122619,0.966798799,0,0,0,0,0,0
14x20,0.431748484,0,0.027589678,0,0.540661839,0,0,0,0
14x21,0.292571744,0.109366369,0.026249297,0.100083058,0.471729532,0,0,0,0
14x22,0.356359659,0.122823431,0.212073587,0,0.308743323,0,0,0,0
14x23,0.601412458,0,0,0,0,0.398587542,0,0,0
14x24,0,0,0,0.71813799,0,0,0,0.118793962,0.163068048
14x25,0.255881289,0.026257041,0,0,0.400715959,0,0,0,0.317145711
14x26,0,0,0,0,0.330545894,0,0,0.408423773,0.261030333
14x27,0,0,0.994425264,0,0,0,0,0,0.005574736
14x28,0,0,0.739395045,0.260604955,0,0,0,0,0
14x29,0,0,0.976674873,0,0,0,0,0,0.023325127
14x30,0,0.006583684,0.631969143,0,0,0,0,0,0.361447173
14x31,0.215547538,0.200852488,0.364817564,0,0.21878241,0,0,0,0
14x32,0,0.045865044,0.544218087,0.258807993,0,0,0,0,0.151108876
14x33,0.21764467,0.055691207,0.338159386,0.133712104,0,0,0,0,0.254792633
14x34,0.310110999,0.159669284,0.096347653,0.129594608,0.12171169,0.066989869,0,0,0.115575897
14x9,0,0.063649931,0,0,0,0,0,0.936350069,0
15x10,0,0.454989718,0,0,0,0,0.350908856,0.194101426,0
15x11,0,0,0,0.199847301,0,0.800152699,0,0,0
15x12,0,0,0,0,0.127257316,0,0.133011142,0.739731542,0
15x13,0,0,0,0,0,0.177211112,0,0.713425255,0.109363633
15x14,0,0,0.116224496,0,0,0,0,0.733307926,0.150467577
15x15,0.152593182,0,0.063152667,0.429130812,0,0,0,0.355123339,0
15x16,0,0,0.029808278,0,0.054419745,0,0,0.492253371,0.423518605
15x17,0.564258956,0.050198953,0,0,0.385542091,0,0,0,0
15x18,0,0.004287009,0.979720296,0,0,0,0,0,0.015992695
15x19,0,0.011442123,0.988557877,0,0,0,0,0,0
15x20,0,0.158661354,0.129257434,0,0.712081211,0,0,0,0
15x21,0,0.047766566,0,0.24117528,0.670112428,0,0,0.00966192,0.031283807
15x22,0,0.223958473,0,0,0.683665974,0,0,0.092375553,0
15x23,0,0,0,0.57504679,0,0,0,0.381579222,0.043373987
15x24,0,0.324561424,0,0,0.675438576,0,0,0,0
15x25,0.344934599,0,0,0,0.655065401,0,0,0,0
15x26,0.486544084,0,0,0,0.510330242,0.003125674,0,0,0
15x27,0,0,0.886979225,0,0,0,0,0,0.113020775
15x28,0,0,0.951509263,0,0,0,0,0,0.048490737
15x29,0,0.021535325,0.953591554,0,0,0,0,0,0.024873121
15x30,0,0,1,0,0,0,0,0,0
15x31,0,0,0.944002165,0.055997835,0,0,0,0,0
15x33,0,0.005745525,0.994254475,0,0,0,0,0,0
15x34,0.506091347,0.330035167,0.023658923,0,0,0,0,0,0.140214563
15x9,0,0,0,0,0,0,0.244291177,0.755708823,0
16x10,0,0,0,0,0,0.92960028,0,0.07039972,0
16x11,0,0,0,0,0,0.802361216,0,0.197638784,0
16x12,0,0,0,0,0,0,0,1,0
16x13,0,0,0,0,0,0,0.154173083,0.845826917,0
16x14,0,0.074076905,0,0,0,0.158308092,0.06690158,0.589485613,0.11122781
16x15,0,0,0,0.486455154,0,0.28741162,0,0.226133226,0
16x16,0,0,0,0,0,0.064366228,0,0.72798665,0.207647123
16x17,0,0,0,0.390935065,0.209013416,0,0,0.333559366,0.066492153
16x18,0,0.174237576,0.629835842,0,0.195926583,0,0,0,0
16x19,0.269864531,0.487969103,0,0,0,0,0,0.242166366,0
16x20,0.281445021,0.11029038,0,0.065005635,0.543258965,0,0,0,0
16x21,0,0,0,0.081648932,0.489297436,0,0,0.277134304,0.151919328
16x22,0,0.106883818,0,0,0.199490329,0,0,0.433639224,0.259986628
16x23,0,0,0,0,0.305288302,0,0,0.694711698,0
16x24,0.258420561,0.044039625,0,0,0.697539814,0,0,0,0
16x25,0.188033503,0.010953888,0,0.021415762,0.779596848,0,0,0,0
16x26,0,0,0.115220087,0,0.884779913,0,0,0,0
16x27,0.185172316,0,0.357747643,0.457080042,0,0,0,0,0
16x28,0,0,1,0,0,0,0,0,0
16x29,0,0.088231101,0.640912174,0.124060477,0.069491843,0,0,0,0.077304404
16x30,0,0,0.920544125,0.037302517,0,0,0,0,0.042153358
16x31,0,0,0.926115043,0,0,0,0,0,0.073884957
16x32,0,0.157378996,0.696588528,0.124170086,0,0,0,0,0.02186239
16x33,0,0.203368494,0.60097163,0.146053867,0,0,0,0,0.049606009
16x34,0.521921996,0.183075696,0.011426098,0.085894307,0,0,0,0,0.197681903
16x9,0,0,0,0,0,1,0,0,0
17x10,0,0,0,0,0,0.913230818,0,0.086769182,0
17x11,0,0,0,0,0,1,0,0,0
17x12,0,0,0,0,0,0.914285907,0,0.085714093,0
17x13,0.120728826,0.08983226,0.034275647,0,0,0,0,0.755163267,0
17x14,0,0,0.033563818,0,0,0,0,0.866787153,0.099649028
17x15,0,0.030322719,0.006070843,0,0,0,0,0.963606438,0
17x16,0,0,0.077208196,0.288554401,0,0.12173746,0,0.512499943,0
17x17,0,0,0,0,0,0,0,0.642271534,0.357728466
17x18,0,0,0.166528533,0.115025234,0,0.249406598,0,0.469039634,0
17x19,0,0,0,0,0,0.383464036,0,0.616535964,0
17x20,0.166104979,0.197390078,0,0.17886867,0,0.108567402,0,0.34906887,0
17x21,0,0.15171339,0,0,0.424776612,0,0,0.423509998,0
17x22,0,0.181546215,0,0,0,0,0,0.818453785,0
17x23,0,0,0,0.151468942,0.244871755,0,0,0.285638504,0.318020799
17x24,0,0.087836644,0,0,0.512020628,0,0,0,0.400142728
17x25,0,0.150019291,0,0,0.849980709,0,0,0,0
17x26,0.319877042,0.022298542,0,0,0.657824415,0,0,0,0
17x27,0.3395014,0,0,0.108648667,0.551849933,0,0,0,0
17x28,0.511654161,0,0,0,0.488345839,0,0,0,0
17x29,0,0.11941208,0.20031256,0.260643032,0.283686528,0,0,0,0.1359458
17x30,0,0,0.776357195,0.043708186,0,0,0,0,0.179934619
17x31,0,0.212566917,0.636529213,0.08776494,0,0,0,0,0.063138929
17x32,0.048206705,0.639601102,0.312192194,0,0,0,0,0,0
17x33,0,0.453488746,0,0.25832106,0.195388364,0,0,0,0.09280183
17x9,0,0,0,0,0,0.683230479,0,0.316769521,0
18x10,0,0,0,0,0,0.498201654,0.192590286,0.30920806,0
18x11,0,0,0,0.068644391,0,0.508889455,0.15883625,0.263629903,0
