,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
26x19,0,0.214768431,0,0.486597286,0,0,0,0.298634283,0
26x20,0,0.22058475,0,0.110209233,0,0.352179435,0,0.317026582,0
26x21,0,0,0,0,0,0,0.45702398,0.419951834,0.123024185
26x22,0,0,0,0.465093134,0.145407701,0.370290855,0,0,0.019208309
26x23,0,0,0.01475481,0.823235161,0.162010029,0,0,0,0
26x24,0,0,0.015890355,0.517562855,0,0,0,0.466546791,0
26x25,0,0.216232426,0,0.391903876,0,0,0,0.391863698,0
26x26,0,0.266354138,0,0.32522693,0.134848717,0.063647416,0,0.209922799,0
26x27,0,0.345434609,0.152435559,0,0.25159423,0.1714469,0,0,0.079088702
26x28,0,0,0.130178211,0,0.39453232,0,0.475289469,0,0
27x10,0.074401401,0,0.060061199,0.328375998,0.045679671,0.382676707,0,0.108805024,0
27x11,0,0.071144323,0,0,0,0.487294836,0,0.441560841,0
27x12,0,0,0.250663313,0,0,0,0.11693293,0.458244117,0.17415964
27x13,0,0.07936033,0.069025866,0,0,0,0,0.666881897,0.184731907
27x14,0,0,0.110511951,0,0,0,0,0.889488049,0
27x15,0,0.00863731,0.170347159,0,0.033067255,0,0,0.672328208,0.115620069
27x16,0,0.194474333,0.264493169,0,0,0,0,0.541032498,0
27x17,0,0,0,0.216160121,0,0.17292117,0,0.548784607,0.062134101
27x18,0,0.135689998,0.01592697,0.300446507,0,0,0.221963977,0.325972548,0
27x19,0,0.34913266,0,0,0,0.418969474,0.231897866,0,0
27x20,0,0,0,0.113204541,1.92428E-10,0.75540277,0,0.131392689,0
27x21,0,0.083554178,0,0,0,0.75406791,0.162377912,0,0
27x22,0,0.172904176,0,0,0.014479581,0.698379262,0.114236981,0,0
27x23,0,0,0,0.438605415,0,0.497262611,0,0.064131975,0
27x24,0,0.260602665,0.156801952,0,0.163619479,0,0,0.418975904,0
27x25,0,0.472848023,0,0.264471254,0,0,0.262680723,1.2952E-10,0
27x26,0,0.558153157,0.003553889,0.342784081,0,0,0,0.033494006,0.062014867
27x27,0,0.54083764,0,0,0.132758516,0,0,0.326403844,0
27x28,0,0.413610697,0,0.216979802,0,0.369409501,0,0,0
28x10,0,0.229522364,0,0.770477636,0,0,0,0,0
28x11,0,0,0,0,0,0.786889175,0,0.213110825,0
28x12,0,0,0.427998715,0.19763146,0,0,0,0.325974565,0.048395261
28x13,0,0,0.078042322,0.511858469,0,0,0,0.410099209,0
28x14,0,0.031159212,0.213852909,0.176260978,0,0,0,0.5787269,4.55997E-10
28x15,0,0,0,0,0.032928411,0,0.068703882,0.898367708,0
28x16,0,0,0,0,0.004782103,0.995217897,0,0,0
28x17,0,0.125143444,0,0,0,0.311580727,0.165008299,0.39826753,0
28x18,0.130447172,0,0.01040446,0.184931227,0.103499766,0.276724681,0,0.293992693,0
28x19,0,0.093755237,0,0,0,0.594629957,0.069169974,0.242444832,0
28x20,0,0,0,0,0.008888643,0.94257597,0,0.048535387,1.59294E-10
28x21,0,0,0,0.131162497,0,0.868837503,0,0,0
28x22,0,0,0,0,0,1,0,0,0
28x23,0,0,0,0.123696629,0,0.57641889,0,0.299884481,0
28x24,0,0.314824884,0,0,0,0.685175116,0,0,0
28x25,0,0.379878171,0,0,0,0,0.33640583,0.283715999,0
28x26,0.104568063,0,0,0.212077372,2.20045E-10,0.594445121,0,0.088909443,0
29x10,0,0,0.302252646,0.565174975,0,0,0,0.047038721,0.085533658
29x11,0,0.376855923,0,0.607410637,0,0,0,0.01573344,0
29x12,0,0.131549179,0.105633172,0.34676582,0.092240123,0.12785161,0,0.195960097,0
29x13,0,0,0,0,0,0.533471231,0.158491162,0.308037608,0
29x14,0,0,0,0,0,0,0,1,0
29x15,0.091356622,0.165749423,0.113685946,0.182652207,0,0.446555803,0,0,0
29x16,0,0.13526981,0,0,0,0.86473019,0,0,0
29x17,0,0,0,0.112870917,0,0.880254203,0,0,0.00687488
29x18,0,0.087895871,0,0,0,0.87541621,0,0,0.036687919
29x19,0,0,0,0,0,1,0,0,0
29x20,0,0.090482446,0,0,0.001303715,0.812696448,1.79064E-10,0.095517391,0
29x21,0,0,0,0,0,1,0,0,0
29x22,0,0,0,0,0.00456699,0.99543301,0,0,0
29x23,0,0.191724448,0,0,0,0.808275552,0,0,0
29x24,0,0.099494229,0,0,0,0.900505771,0,0,0
30x11,0,0,0.151394091,0.685661729,0,0,0,0.162944181,0
30x12,0,0,0.130298319,0,0.121514754,0,0,0.748186927,0
30x13,0,0,0.093240965,0,0,0.311290945,0,0.59546809,0
30x14,0.187623663,0,0,0.280212586,0,0.532163751,0,0,0
30x15,0,0,0.055546045,0,0,0,0,0.701069846,0.243384109
30x16,0,0,0.148840473,0.264516897,0,0.381990975,0,0.204651655,0
30x17,0,0,0,0,0,0.640944492,0,0.359055508,0
30x18,0,0,0,0,0.004085627,0.92949289,0.066421483,0,0
30x19,0,0.08648511,0,0,0,0.856372607,0.057142284,0,0
30x20,0,0,0,0,0,0.950667616,0.042853032,0,0.006479353
30x21,0,0.056393958,0,0,0,0.841240386,0.102365656,0,0
30x23,0,0,0,0,0,0.624289641,0.109672875,0.266037483,0
31x10,0.419562006,0,0.037927858,0.542510136,0,0,0,0,0
31x11,0,0.044680352,0.024462097,0.418137647,0,0,0,0.512719905,0
31x12,0,0.060585094,0.030563278,0,0,0,0,0.822805031,0.086046597
31x13,0,0,0.134645543,0,0,0,0.131214378,0.734140079,0
31x14,0,0.074645838,0,0,0,0,0.195398116,0.646087371,0.083868675
31x15,0,0,0,0.118788185,0,0,0,0.783476026,0.097735789
31x16,0.363198984,0,0,0,0,0,0.421341144,0,0.215459873
31x17,0,0,1,0,0,0,0,0,0
32x11,0,0,0,0.565471819,0,0.373930283,0,0.060597898,0
32x12,0,0,0.035406735,0.209269316,0,0,0,0.658964285,0.096359664
3x25,0.257354599,0,0.742645401,0,0,0,0,0,0
3x26,0,0.021781345,0.877459234,0.034818841,0,0,0,0,0.06594058
3x27,0,0,0.893433035,0.086494861,0,0,0,0,0.020072104
3x28,0,0,0.8496172,0,0,0,0,0,0.1503828
3x29,0,0,0.615266932,0.258522478,0,0,0,0,0.126210589
3x30,0,0.21732664,0.267807881,0.305767366,0,0,0,0.209098113,0
3x31,0,0.298578172,0,0.416810576,0.047908326,0,0,0.236702925,0
3x32,0.055517007,0.287036258,0,0.465625893,0,0,0.103131036,0.088689806,0
4x20,0,0,1,0,0,0,0,0,0
4x21,0,0,0.897570738,0,0,0,0,0,0.102429262
4x22,0,0,0.967708754,0,0.032291246,0,0,0,0
4x23,0,0,0.430940718,0.208034549,0,0.194441561,0,0.043792958,0.122790214
4x24,0.122559632,0.064960943,0.313876508,0,0,0.31345734,0,0,0.185145577
4x25,0,0,0.392166087,0.117199758,0,0.131330595,0,0.093248076,0.266055484
4x26,0,0.100863703,0.848394046,0,0,0,0,0,0.050742251
4x27,0,0.003117296,0.99050087,0,0,0,0,0,0.006381834
4x28,0,0,1,0,0,0,0,0,0
4x29,0,0.118002636,0.285504837,0.368891311,0,0,0,0,0.227601216
4x30,0.256788199,0.241710863,0,0,0,0.15679395,0,0.344706989,0
4x31,0,0.139229333,0.036443443,0.606143874,0,0,0,0.218183351,0
4x32,0,0,0.051404832,0.780990804,0,0,0,0.167604364,0
5x14,0,0,0,0.335177485,0,0.3403798,0,0.324442715,0
5x16,0,0.102579211,0.020654386,0.173330484,0,0,0,0.499772372,0.203663548
5x17,0,0,0,0,0,0,0.16607499,0.632831812,0.201093197
5x18,0,0,0,0,0,0,0,1,0
5x19,0,0,0.529490631,0.038172843,0,0,0,0.174264224,0.258072302
5x20,0,0,0.991071907,0,0,0,0,0,0.008928093
5x21,0,0,1,0,0,0,0,0,0
5x22,0,0,0.642275756,0.275498485,0,0,0,0,0.082225759
5x23,0,0.091302733,0,0.267688987,0,0,0,0.301563935,0.339444345
5x24,0,0,0.359344638,0.096159079,0,0.144025724,0,0,0.400470558
5x25,0.23969333,0,0.613514064,0,0,0,0,0,0.146792605
5x26,0,0.027349916,0.703791199,0.189358829,0,0,0,0,0.079500056
5x27,0,0,0.989794338,0,0,0,0,0,0.010205662
5x28,0,0,0.75739853,0.24260147,0,0,0,0,0
5x29,0,0.182490721,0.284997551,0.374388151,0,0.085576487,0,0,0.07254709
5x30,0.167457444,0,0.133290286,0.377819496,0.090655418,0,0,0.230777356,0
5x31,0,0.337068678,0,0.625518322,0,0,0,0.037413,0
5x32,0,0,0.19128178,0.384094467,0,0,0,0.424623753,0
6x10,0,0,0,0,0,0.844996944,0.155003056,0,0
6x11,0,0,0,0.403465642,0,0,0,0.596534358,0
6x12,0.114054193,0.008808784,0.182855054,0,0,0,0,0.531724792,0.162557177
6x13,0,0,0,0,0,0,0.345614379,0.654385621,0
6x14,0,0,0,0,0,0,0.029790025,0.970209975,0
6x15,0.118463295,0.037264497,0,0,0,0,0,0.844272208,0
6x16,0,0,0.056431935,0,0,0,0,0.780547956,0.163020108
6x17,0,1.65967E-10,0.097818872,0.135612136,0,0,0,0.458610745,0.307958246
6x18,0,0.003626967,0.163195101,0,0,0,0,0.556798313,0.276379619
6x19,0,0,0.047609972,0,0,0,0,0.562371505,0.390018523
6x20,0,0.16955827,0,0,0,0,0,0.48679669,0.34364504
6x21,0,0,0.050129166,0,0,0,0,0.704006052,0.245864781
6x22,0.287748196,0,0,0.573242905,0,0,0,0.139008899,0
6x23,0,0.195601968,0.302230821,0,0,0,0,0,0.502167211
6x24,0,0.104399784,0.465765568,0.111389364,0,0,0,0.10767805,0.210767234
6x25,0.26872056,0,0.569504161,0,0,0,0,0,0.161775279
6x26,0.119627606,0.077554522,0.54527007,0.198958829,0,0,0,0.058588973,0
6x27,0,0,0.576710954,0.14604856,0,0,0,0,0.277240486
6x28,0,0.0459736,0.542251547,0,0.134089067,0,0,0.160932814,0.116752972
6x29,0,0,0.035139734,0.765864203,0.047855299,0.079042114,0,0.056722231,0.01537642
6x30,0,0,0.259698495,0.52429858,0,0,0.216002925,0,0
6x31,0.466414748,0.06205969,0.265307343,0,0,0.206218219,0,0,0
6x32,0.371612018,0,0,0,0,0,0,0.628387982,0
6x33,0,0.071132714,0.104565376,0,0,0.188541595,0,0.635760315,0
7x10,0,0.176245326,0,0.180946479,0,0,0,0.642808195,0
7x11,0,0,0.12422672,0.328777732,0,0,0,0.546995548,0
7x12,0,0,0.13665515,0,0,0.127477406,0,0.735867443,0
7x13,0,0,0.190605857,0.116119023,0,0,0,0.69327512,0
7x14,0,0,0.09953816,0.130065085,0,0,0,0.770396755,0
7x15,0,0,0.116954118,0,0,0,0,0.883045882,0
7x16,0,0,0.278827967,0,0,0,0,0.721172033,0
7x17,0,0,0.313037275,0.293372834,0,0,0,0.393589891,0
7x18,0.182150853,0,0.277912358,0.113508478,0,0.126776865,0,0.299651446,0
7x19,0,0.127292104,0.011456444,0,0.094789324,0,0.225907932,0.540554195,0
7x20,0.076628627,0.037697981,0,0,0.206276506,0,0,0.457498381,0.221898506
7x21,0,0,0.105614514,0,0.182955333,0,0,0.711430153,0
7x22,0,0,0.178296577,0,0,0,0,0.446819128,0.374884295
7x23,0,0.081149759,0.373720323,0.107356066,0,0,0,0.437773852,0
7x24,0,0.042593003,0.935271534,0,0,0,0,0,0.022135462
7x25,0.449146899,0,0,0.310312342,0,0,0,0,0.240540759
7x26,0,0.003996077,0.996003923,0,0,0,0,0,0
7x27,0,0,0.607344318,0.344285171,0.00829023,0,0,0.020750839,0.019329443
7x28,0,0.050954506,0.282539468,0.603360354,0.025220751,0,0,0,0.037924921
7x29,0.272619266,0.360582559,0.366798175,0,0,0,0,0,0
7x30,0,0.047450006,0.848593678,0,0,0,0,0,0.103956316
7x31,0,0.099596552,0.747749619,0,0,0,0,0,0.152653829
7x32,0,0.230669249,0.417022214,0,0,0,0.134727574,0,0.217580963
7x33,0,0,0,0,0,0,0,0.4205577,0.5794423
8x10,0,0,0,0,0,0,0,1,0
8x11,0,0,0.229055751,0,0,0,0,0.770944249,0
8x12,0,0,0.020843223,0.076008625,0,0,0,0.738066335,0.165081818
8x13,0,0,0.144229033,0,0.032968888,0,0,0.82280208,0
8x14,0,0,0.088390536,0,0,0,0,0.532092543,0.379516921
8x15,0,0,0.402989815,0,0,0,0,0.472735155,0.12427503
8x16,0,0.008528014,0.730617031,0.242252566,0,0,0,0.018602389,0
8x17,0,0.043553356,0.67977448,0,0.276672164,0,0,0,0
8x18,0.283060248,0,0.716939752,0,0,0,0,0,0
8x19,0,0,0.182912711,0.216631422,0,0,0,0.600455867,0
8x20,0,0,0,0,0,0,0.250204772,0.749795228,0
8x21,0,0.293013118,0.234782875,0,0,0,0,0.472204007,0
8x22,0,0.006207302,0.838068647,0.126520339,0,0,0,0,0.029203712
8x23,0,0.144792011,0.402486843,0.075737441,0,0,0,0.376983705,0
8x24,0,0,1,0,0,0,0,0,0
8x25,0.092771131,0,0.567138841,0.340090029,0,0,0,0,0
8x26,0,0.015909893,0.975327307,0,0,0,0,0,0.008762801
8x27,0,0.156401865,0.600140076,0,0,0.084306755,0,0,0.159151304
8x28,0,0.04683256,0.515741137,0.351207564,0,0,0,0,0.086218739
8x29,0.370771287,0,0,0,0.257126873,0,0,0,0.37210184
8x30,0,0.003848825,0.996151175,0,0,0,0,0,0
8x31,0,0,0.561551113,0.076062092,0,0,0,0,0.362386795
8x32,0,0.087534589,0.814562576,0,0,0,0,0,0.097902835
8x33,0,0.21806058,0,0.342564713,0,0,0,0.439374706,0
9x10,0,0.009313964,0,0,0,0,0,0.628417032,0.362269004
9x11,0,0,0.201326367,0.381065247,0,0.139152178,0,0.278456208,0
9x12,0,0,0.122125066,0.155803382,0,0,0,0.678550644,0.043520908
9x13,0.18829003,0,0.023730321,0,0,0,0,0.787979649,0
9x14,0,0,0.018401057,0,0,0,0,0.693472401,0.288126543
9x15,0,0.326972222,0,0,0,0,0,0.478241902,0.194785876
9x16,0.135096488,0,0.649998534,0.214904978,0,0,0,0,0
9x17,0,0.084841478,0.666909317,0,0.248249204,0,0,0,0
9x18,0.067799971,0.142866849,0.599301764,0.190031417,0,0,0,0,0
9x19,0,0,0,0,0.322521178,0,0,0.491028583,0.186450239
9x20,0,0,0,0.256134264,0,0,0,0.743865736,0
9x21,0,0.225409001,0,0.165125695,0.182419786,0,0,0.427045517,0
9x22,0,0.020035793,0.93236303,0,0,0,0,0,0.047601177
9x23,0.331343696,0.078561109,0.224447585,0,0,1.22667E-10,0,0,0.36564761
9x24,0,0,0.995043381,0,0,0,0,0,0.004956619
9x25,0,0.021974125,0.81593205,0,0,0,0,0,0.162093826
9x26,0,0,0.186585224,0.459731151,0,0.038337345,0,0,0.31534628
9x27,0,0.258488081,0.433078662,0,0.106337831,0.066555675,0,1.82669E-10,0.135539751
9x28,0,0.01173381,0.771921563,0,0,0,0,0,0.216344627
9x29,0,0.401827362,0.598172638,0,0,0,0,0,0
9x30,0.102121029,0,0.897878971,0,0,0,0,0,0
9x31,0.137380626,0.103903139,0.283260538,0,0,0,0,0.475455697,0
9x32,0,0,0,0.150758558,0.097579531,0,0,0.429189078,0.322472833
9x33,0,0.023614525,0.971644805,0,0,0,0,0,0.00474067
