"","new_celltype"
"cy79_p5_CD45_neg_PDL1_pos_F10_S742_comb","Mal"
"cy80_CD45_neg_D02_S902_comb","Mal"
"CY89CORE11_F10_S166_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B03_S399_comb","Mal"
"cy80_CD45_neg_B08_S884_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_D09_S717_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_F03_S255_comb","Mal"
"CY89FNAQ2_G04_S460_comb","Mal"
"cy80_CD45_neg_F08_S932_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A02_S98_comb","Mal"
"Cy81_FNA_CD45_F07_S355_comb","Mal"
"cy81_FNA_CD45_neg_E09_S1017_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G09_S177_comb","Mal"
"Cy80_II_CD45_H11_S959_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D02_S326_comb","Mal"
"Cy81_FNA_CD45_E04_S340_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C04_S124_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_C04_S700_comb","Mal"
"cy82_CD45_pos_1_B11_S503_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D09_S429_comb","Mal"
"cy82_CD45_pos_1_D01_S517_comb","Mal"
"cy82_CD45_neg_3_A11_S779_comb","Mal"
"CY89NEG_A10_S10_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_H05_S473_comb","Mal"
"Cy81_FNA_CD45_H09_S381_comb","Mal"
"cy80_CD45_neg_E05_S917_comb","Mal"
"Cy80_II_CD45_A01_S865_comb","Mal"
"CY89NEG_A12_S12_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B03_S111_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_G12_S276_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C06_S414_comb","Mal"
"Cy81_Bulk_CD45_F12_S168_comb","Mal"
"cy81_Bulk_CD45_neg_H12_S192_comb","Mal"
"cy81_FNA_CD45_neg_D01_S997_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H09_S765_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E03_S339_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_C08_S1088_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A09_S777_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C03_S219_comb","Mal"
"cy81_FNA_CD45_neg_D03_S999_comb","Mal"
"cy81_FNA_CD45_neg_E06_S1014_comb","Mal"
"CY89NEG_C10_S34_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B07_S403_comb","Mal"
"cy81_FNA_CD45_neg_C11_S995_comb","Mal"
"cy80_CD45_neg_B03_S879_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A06_S390_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H05_S281_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H05_S1145_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C06_S126_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C09_S129_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_E09_S1113_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H01_S277_comb","Mal"
"CY89NEG_E03_S51_comb","Mal"
"cy82_CD45_pos_2_F02_S542_comb","Mal"
"cy81_Bulk_CD45_neg_D01_S133_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_G08_S848_comb","Mal"
"Cy80_II_CD45_E11_S923_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F04_S448_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C12_S324_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A08_S104_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G02_S74_comb","Mal"
"cy82_CD45_pos_2_D12_S528_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_D08_S1100_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D03_S327_comb","Mal"
"cy82_CD45_pos_3_A12_S12_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G07_S175_comb","Mal"
"Cy81_Bulk_CD45_A08_S104_comb","Mal"
"cy81_Bulk_CD45_neg_B02_S110_comb","Mal"
"cy80_CD45_neg_A06_S870_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B12_S408_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_G09_S465_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C01_S217_comb","Mal"
"cy81_Bulk_CD45_neg_B04_S112_comb","Mal"
"cy82_CD45_pos_3_H12_S96_comb","Macrophage"
"cy79_p5_CD45_neg_PDL1_neg_H11_S863_comb","Mal"
"cy80_CD45_pos_PD1_pos_D09_S141_comb","T.cell"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B12_S312_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G11_S371_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_D02_S806_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_B07_S787_comb","Mal"
"Cy80_II_CD45_E08_S920_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F01_S445_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F08_S356_comb","Mal"
"Cy81_FNA_CD45_H05_S377_comb","Mal"
"cy82_CD45_pos_1_H12_S576_comb","Macrophage"
"cy81_FNA_CD45_neg_D12_S1008_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A08_S776_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B12_S1080_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G02_S1130_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_C05_S701_comb","Mal"
"Cy81_FNA_CD45_D12_S336_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G03_S363_comb","Mal"
"cy82_CD45_pos_3_A08_S8_comb","Mal"
"cy81_FNA_CD45_neg_E08_S1016_comb","Mal"
"cy81_Bulk_CD45_neg_A07_S103_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E01_S721_comb","Mal"
"cy81_Bulk_CD45_neg_H07_S187_comb","Mal"
"cy82_CD45_pos_2_D03_S519_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_A10_S1066_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F08_S164_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H04_S184_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_G10_S466_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C09_S321_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F10_S454_comb","Mal"
"cy81_FNA_CD45_neg_E01_S1009_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C03_S123_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G06_S750_comb","Mal"
"cy81_FNA_CD45_neg_F01_S1021_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F12_S168_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_C02_S698_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_A02_S1058_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_D07_S715_comb","Mal"
"cy81_FNA_CD45_neg_H02_S1046_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B01_S109_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D08_S140_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D10_S142_comb","Mal"
"cy81_FNA_CD45_neg_B03_S975_comb","Mal"
"cy81_Bulk_CD45_neg_H02_S182_comb","Mal"
"cy80_CD45_neg_A10_S874_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B06_S114_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_E04_S820_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G10_S370_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B06_S18_comb","Mal"
"Cy81_Bulk_CD45_F05_S161_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C08_S320_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F09_S357_comb","Mal"
"cy81_FNA_CD45_neg_E10_S1018_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_G02_S458_comb","Mal"
"Cy81_Bulk_CD45_D08_S140_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G12_S84_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E12_S348_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_B08_S692_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H07_S283_comb","Endo."
"Cy81_FNA_CD45_B04_S304_comb","Mal"
"Cy80_II_CD45_H12_S960_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D07_S43_comb","Mal"
"cy81_FNA_CD45_neg_H10_S1054_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H07_S1147_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C10_S322_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_F03_S735_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_B12_S696_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D11_S47_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H06_S378_comb","Mal"
"Cy81_FNA_CD45_H01_S373_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_D08_S812_comb","Mal"
"cy81_FNA_CD45_neg_H11_S1055_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G01_S169_comb","Mal"
"Cy81_Bulk_CD45_A12_S108_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A09_S105_comb","Mal"
"Cy80_II_CD45_A06_S870_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F04_S1120_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D08_S236_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C11_S131_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E06_S54_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_D10_S718_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E06_S342_comb","Mal"
"Cy81_Bulk_CD45_E06_S150_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H11_S287_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A08_S8_comb","Mal"
"Cy81_Bulk_CD45_A02_S98_comb","CAF"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A03_S3_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_F02_S254_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H02_S1142_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B09_S405_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_B11_S695_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G08_S752_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H12_S192_comb","Mal"
"Cy81_Bulk_CD45_D06_S138_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_H08_S860_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H06_S186_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D07_S235_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A03_S291_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C09_S33_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D05_S233_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E07_S439_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A05_S389_comb","Mal"
"cy80_CD45_neg_C11_S899_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E02_S338_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_E12_S252_comb","Mal"
"Cy81_FNA_CD45_D11_S335_comb","Mal"
"cy80_CD45_neg_C07_S895_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_A08_S680_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H08_S188_comb","Mal"
"Cy81_FNA_CD45_C10_S322_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B01_S397_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_G01_S457_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_F07_S739_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F08_S452_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_F09_S837_comb","Mal"
"CY89NEG_C02_S26_comb","Mal"
"cy81_Bulk_CD45_neg_E11_S155_comb","Mal"
"cy80_CD45_neg_B02_S878_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B10_S214_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B08_S212_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E04_S436_comb","Mal"
"CY89NEG_H01_S85_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E12_S732_comb","Mal"
"cy80_CD45_neg_B12_S888_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A04_S100_comb","Mal"
"CY89CORE11_A07_S103_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_D10_S1102_comb","Mal"
"cy81_FNA_CD45_neg_C07_S991_comb","Mal"
"Cy81_Bulk_CD45_G06_S174_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D01_S37_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C07_S31_comb","Mal"
"CY89NEG_B08_S20_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G11_S1139_comb","Mal"
"CY89CORE11_E04_S148_comb","Mal"
"cy80_CD45_neg_B10_S886_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C02_S314_comb","Mal"
"Cy80_II_CD45_C08_S896_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G12_S372_comb","Mal"
"cy80_CD45_neg_A07_S871_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B06_S1074_comb","Endo."
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F12_S360_comb","Mal"
"cy80_CD45_neg_E04_S916_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E10_S346_comb","Mal"
"Cy81_FNA_CD45_E01_S337_comb","Mal"
"CY89CORE11_H03_S183_comb","Mal"
"CY89NEG_H10_S94_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H10_S190_comb","Mal"
"Cy81_Bulk_CD45_D12_S144_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B04_S400_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G10_S178_comb","Mal"
"CY89NEG_C08_S32_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A02_S290_comb","Mal"
"cy81_Bulk_CD45_neg_D05_S137_comb","Mal"
"cy82_CD45_pos_3_G06_S78_comb","Mal"
"cy80_CD45_neg_C01_S889_comb","Mal"
"cy81_Bulk_CD45_neg_E10_S154_comb","Mal"
"cy81_Bulk_CD45_neg_H11_S191_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H12_S768_comb","Mal"
"CY89CORE11_G10_S178_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G03_S171_comb","Mal"
"CY89FNAQ2_G02_S458_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E03_S51_comb","Mal"
"Cy81_Bulk_CD45_G03_S171_comb","CAF"
"cy79_p4_CD45_neg_PDL1_neg_A04_S1060_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G04_S76_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_C05_S1085_comb","Mal"
"cy81_Bulk_CD45_neg_D10_S142_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B05_S1073_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_D02_S710_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_G01_S265_comb","Mal"
"Cy81_Bulk_CD45_D11_S143_comb","Mal"
"CY89FNAQ2_H05_S473_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G09_S1137_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B01_S13_comb","Mal"
"cy81_Bulk_CD45_neg_F02_S158_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D09_S333_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_C12_S804_comb","Mal"
"Cy80_II_CD45_G03_S939_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_G05_S1133_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_E03_S1107_comb","Mal"
"cy81_FNA_CD45_neg_G07_S1039_comb","Mal"
"cy80_CD45_neg_A12_S876_comb","Mal"
"cy81_FNA_CD45_neg_G05_S1037_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_G02_S842_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C04_S220_comb","Mal"
"cy81_Bulk_CD45_neg_H03_S183_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A10_S778_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_F11_S263_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E06_S438_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_H12_S864_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_F05_S449_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H02_S758_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B05_S17_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G10_S754_comb","Mal"
"CY89NEG_G05_S77_comb","Mal"
"Cy81_FNA_CD45_B12_S312_comb","Mal"
"Cy81_FNA_CD45_H04_S376_comb","Mal"
"CY89CORE11_G11_S179_comb","Mal"
"CY89CORE11_B07_S115_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D01_S229_comb","Mal"
"Cy81_Bulk_CD45_D04_S136_comb","Mal"
"Cy81_FNA_CD45_H08_S380_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D12_S48_comb","Mal"
"CY89CORE11_D03_S135_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_E02_S242_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D08_S44_comb","Mal"
"CY89CORE11_D04_S136_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E09_S441_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D06_S426_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C07_S415_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_E03_S819_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_F06_S738_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D11_S239_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B02_S110_comb","Mal"
"Cy80_II_CD45_C01_S889_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C09_S417_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F10_S358_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_H05_S857_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H02_S182_comb","Mal"
"CY89FNAQ2_F08_S452_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A06_S294_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E11_S443_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A12_S300_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F09_S69_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G04_S364_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A03_S771_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G05_S365_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_F05_S257_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B09_S309_comb","Mal"
"Cy80_II_CD45_E12_S924_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G06_S174_comb","Mal"
"cy80_CD45_neg_G06_S942_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F09_S165_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A05_S101_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_E06_S822_comb","Mal"
"Cy80_II_CD45_B08_S884_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E02_S722_comb","Mal"
"Cy80_II_CD45_E06_S918_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C06_S318_comb","Mal"
"cy82_CD45_pos_3_E02_S50_comb","Mal"
"cy80_CD45_neg_G09_S945_comb","Mal"
"CY89NEG_E04_S52_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C11_S35_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F11_S1127_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B07_S307_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D12_S240_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_D07_S811_comb","Mal"
"cy82_CD45_pos_3_G12_S84_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_D03_S711_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_B11_S791_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E07_S727_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D12_S336_comb","Mal"
"cy82_CD45_pos_1_G08_S560_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B01_S205_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C10_S130_comb","Mal"
"cy81_FNA_CD45_neg_B07_S979_comb","Mal"
"CY89NEG_D08_S44_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F08_S68_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_C12_S708_comb","Mal"
"cy81_Bulk_CD45_neg_H08_S188_comb","CAF"
"cy79_p4_CD45_neg_PDL1_neg_B01_S1069_comb","Mal"
"CY89FNAQ2_C08_S416_comb","Mal"
"CY89CORE11_E08_S152_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D06_S42_comb","Mal"
"CY89NEG_F12_S72_comb","Mal"
"CY89NEG_A08_S8_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H07_S763_comb","Mal"
"Cy80_II_CD45_A02_S866_comb","Mal"
"cy80_CD45_neg_F11_S935_comb","Mal"
"Cy80_II_CD45_D07_S907_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E07_S55_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_B02_S398_comb","Endo."
"CY89CORE11_G05_S173_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E03_S435_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G11_S179_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E07_S343_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C12_S228_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F02_S158_comb","Mal"
"CY89NEG_G07_S79_comb","Mal"
"CY89CORE11_F06_S162_comb","Mal"
"CY89NEG_F06_S66_comb","Mal"
"cy81_Bulk_CD45_neg_C01_S121_comb","Mal"
"Cy81_FNA_CD45_F10_S358_comb","Mal"
"cy80_CD45_neg_E09_S921_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_G05_S269_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E05_S341_comb","Mal"
"CY89NEG_E10_S58_comb","Mal"
"cy82_CD45_pos_3_A10_S10_comb","Mal"
"CY89NEG_H12_S96_comb","Mal"
"cy80_CD45_neg_G08_S944_comb","Mal"
"Cy80_II_CD45_F10_S934_comb","Mal"
"cy82_CD45_pos_2_E03_S531_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_G10_S274_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D02_S230_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_E05_S1109_comb","Mal"
"Cy81_Bulk_CD45_G02_S170_comb","CAF"
"Cy80_II_CD45_D12_S912_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F10_S166_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_B12_S216_comb","Mal"
"cy81_Bulk_CD45_neg_A02_S98_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C01_S25_comb","Mal"
"CY89CORE11_C02_S122_comb","Mal"
"cy81_Bulk_CD45_neg_E12_S156_comb","CAF"
"Cy81_FNA_CD45_C02_S314_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_A09_S201_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H11_S383_comb","Mal"
"CY89NEG_C04_S28_comb","Mal"
"Cy81_Bulk_CD45_E01_S145_comb","Mal"
"CY89CORE11_A10_S106_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A09_S393_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B11_S23_comb","Mal"
"CY89NEG_G11_S83_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D04_S40_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F06_S1122_comb","Mal"
"Cy80_II_CD45_C04_S892_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_D02_S1094_comb","Mal"
"Cy81_Bulk_CD45_C11_S131_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C02_S26_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D01_S133_comb","Mal"
"CY89COREQ1_A09_S297_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A09_S297_comb","Mal"
"cy82_CD45_pos_3_C01_S25_comb","Mal"
"cy81_FNA_CD45_neg_C06_S990_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H03_S183_comb","Mal"
