"","nCell"
"x6034y8550",3
"x6534y8550",3
"x7034y8550",6
"x7534y8550",4
"x8034y8550",4
"x8534y8550",6
"x9034y8550",4
"x9534y8550",8
"x10034y8550",4
"x10534y8550",3
"x34y9050",4
"x534y9050",5
"x1034y9050",4
"x1534y9050",3
"x2034y9050",3
"x2534y9050",7
"x3034y9050",1
"x4534y9050",5
"x5034y9050",1
"x5534y9050",5
"x6034y9050",7
"x6534y9050",6
"x7034y9050",3
"x7534y9050",5
"x8034y9050",6
"x8534y9050",5
"x9034y9050",5
"x9534y9050",4
"x10034y9050",5
"x10534y9050",3
"x34y9550",5
"x534y9550",4
"x1034y9550",4
"x1534y9550",3
"x2034y9550",6
"x2534y9550",2
"x3034y9550",3
"x3534y9550",3
"x4534y9550",6
"x5034y9550",5
"x5534y9550",5
"x6034y9550",3
"x6534y9550",7
"x7034y9550",5
"x7534y9550",6
"x8034y9550",3
"x8534y9550",5
"x9034y9550",6
"x9534y9550",6
"x10034y9550",4
"x10534y9550",4
"x34y10050",7
"x534y10050",4
"x1034y10050",6
"x1534y10050",6
"x2034y10050",6
"x2534y10050",3
"x3034y10050",7
"x3534y10050",1
"x4534y10050",6
"x5034y10050",4
"x5534y10050",2
"x6034y10050",3
"x6534y10050",3
"x7034y10050",6
"x7534y10050",1
"x8034y10050",3
"x8534y10050",4
"x9034y10050",4
"x9534y10050",4
"x10034y10050",6
"x10534y10050",3
"x34y10550",5
"x534y10550",4
"x1034y10550",5
"x1534y10550",4
"x2034y10550",4
"x2534y10550",6
"x3034y10550",6
"x3534y10550",2
"x4534y10550",2
"x5034y10550",4
"x5534y10550",4
"x6034y10550",5
"x6534y10550",4
"x7034y10550",4
"x7534y10550",2
"x8034y10550",3
"x8534y10550",7
"x9034y10550",4
"x9534y10550",3
"x10034y10550",5
"x10534y10550",2
"x34y11050",4
"x534y11050",6
"x1034y11050",3
"x1534y11050",6
"x2034y11050",6
"x2534y11050",9
"x3034y11050",4
"x3534y11050",5
"x4534y11050",6
"x5034y11050",4
"x5534y11050",3
"x6034y11050",3
"x6534y11050",5
"x7034y11050",4
"x7534y11050",2
"x8034y11050",2
"x8534y11050",3
"x9034y11050",5
"x9534y11050",2
"x10034y11050",2
"x10534y11050",2
"x34y11550",4
"x534y11550",5
"x1034y11550",4
"x1534y11550",4
"x2034y11550",5
"x2534y11550",3
"x3034y11550",4
"x3534y11550",2
"x4534y11550",3
"x5034y11550",5
"x5534y11550",3
"x6034y11550",4
"x6534y11550",4
"x7034y11550",4
"x8034y11550",2
"x8534y11550",4
"x9034y11550",4
"x9534y11550",3
"x10034y11550",5
"x10534y11550",3
"x34y12050",5
"x534y12050",3
"x1034y12050",4
"x1534y12050",5
"x2034y12050",3
"x2534y12050",6
"x3034y12050",3
"x3534y12050",1
"x4534y12050",3
"x5034y12050",5
"x5534y12050",2
"x6034y12050",3
"x6534y12050",3
"x7034y12050",6
"x8034y12050",3
"x8534y12050",4
"x9034y12050",2
"x9534y12050",6
"x10034y12050",4
"x10534y12050",2
"x34y12550",5
"x534y12550",4
"x1034y12550",1
"x1534y12550",4
"x2034y12550",2
"x2534y12550",4
"x3034y12550",3
"x3534y12550",1
"x4534y12550",3
"x5034y12550",5
"x5534y12550",7
"x6034y12550",5
"x6534y12550",6
"x7034y12550",5
"x7534y12550",4
"x8034y12550",5
"x8534y12550",2
"x9034y12550",5
"x10034y12550",6
"x10534y12550",4
"x34y13050",2
"x534y13050",2
"x1034y13050",4
"x1534y13050",4
"x2034y13050",4
"x2534y13050",4
"x3034y13050",5
"x3534y13050",3
"x4534y13050",5
"x5034y13050",4
"x5534y13050",6
"x6034y13050",1
"x6534y13050",3
"x7034y13050",3
"x7534y13050",1
"x8034y13050",4
"x8534y13050",3
"x10034y13050",1
"x10534y13050",2
"x34y13550",1
"x534y13550",8
"x1034y13550",1
"x1534y13550",4
"x2034y13550",4
"x2534y13550",2
"x3034y13550",1
"x3534y13550",3
"x4534y13550",2
"x5034y13550",3
"x5534y13550",1
"x6034y13550",1
"x7034y13550",1
"x7534y13550",2
"x8034y13550",1
"x9034y13550",1
"x10034y13550",2
"x10534y13550",1
"x34y14050",4
"x534y14050",1
"x1034y14050",3
"x1534y14050",6
"x2034y14050",5
"x2534y14050",4
"x3034y14050",3
"x3534y14050",3
"x4534y14050",1
"x5034y14050",1
"x5534y14050",2
"x6034y14050",2
"x7034y14050",3
"x7534y14050",1
"x9534y14050",1
"x10034y14050",5
"x10534y14050",4
"x34y14550",2
"x1034y14550",4
"x1534y14550",2
"x2034y14550",2
"x2534y14550",5
"x3034y14550",4
"x3534y14550",1
"x34y15050",3
"x534y15050",1
"x1034y15050",1
"x2034y15050",1
"x2534y15050",2
"x3034y15050",4
"x3534y15050",2
"x34y15550",4
"x534y15550",3
"x1034y15550",4
"x1534y15550",1
"x2534y15550",1
"x3534y15550",1
"x1034y16050",4
"x1534y16050",7
"x2034y16050",3
"x2534y16050",2
"x3034y16050",2
"x2034y16550",2
"x2534y16550",8
"x3034y16550",3
"x3034y17050",1
