"","imagecol","imagerow","x","y"
"x6034y5050",6034,5050,13,11
"x6534y5050",6534,5050,14,11
"x7034y5050",7034,5050,15,11
"x7534y5050",7534,5050,16,11
"x8034y5050",8034,5050,17,11
"x8534y5050",8534,5050,18,11
"x9034y5050",9034,5050,19,11
"x9534y5050",9534,5050,20,11
"x10034y5050",10034,5050,21,11
"x10534y5050",10534,5050,22,11
"x34y5550",34,5550,1,12
"x534y5550",534,5550,2,12
"x1034y5550",1034,5550,3,12
"x1534y5550",1534,5550,4,12
"x2034y5550",2034,5550,5,12
"x2534y5550",2534,5550,6,12
"x3034y5550",3034,5550,7,12
"x3534y5550",3534,5550,8,12
"x4534y5550",4534,5550,10,12
"x5034y5550",5034,5550,11,12
"x5534y5550",5534,5550,12,12
"x6034y5550",6034,5550,13,12
"x6534y5550",6534,5550,14,12
"x7034y5550",7034,5550,15,12
"x7534y5550",7534,5550,16,12
"x8034y5550",8034,5550,17,12
"x8534y5550",8534,5550,18,12
"x9034y5550",9034,5550,19,12
"x9534y5550",9534,5550,20,12
"x10034y5550",10034,5550,21,12
"x34y6050",34,6050,1,13
"x534y6050",534,6050,2,13
"x1034y6050",1034,6050,3,13
"x1534y6050",1534,6050,4,13
"x2034y6050",2034,6050,5,13
"x2534y6050",2534,6050,6,13
"x3034y6050",3034,6050,7,13
"x3534y6050",3534,6050,8,13
"x4534y6050",4534,6050,10,13
"x5034y6050",5034,6050,11,13
"x5534y6050",5534,6050,12,13
"x6034y6050",6034,6050,13,13
"x6534y6050",6534,6050,14,13
"x7034y6050",7034,6050,15,13
"x7534y6050",7534,6050,16,13
"x8034y6050",8034,6050,17,13
"x8534y6050",8534,6050,18,13
"x9034y6050",9034,6050,19,13
"x9534y6050",9534,6050,20,13
"x10034y6050",10034,6050,21,13
"x10534y6050",10534,6050,22,13
"x534y6550",534,6550,2,14
"x1034y6550",1034,6550,3,14
"x1534y6550",1534,6550,4,14
"x2034y6550",2034,6550,5,14
"x2534y6550",2534,6550,6,14
"x3034y6550",3034,6550,7,14
"x3534y6550",3534,6550,8,14
"x4534y6550",4534,6550,10,14
"x5034y6550",5034,6550,11,14
"x5534y6550",5534,6550,12,14
"x6034y6550",6034,6550,13,14
"x6534y6550",6534,6550,14,14
"x7034y6550",7034,6550,15,14
"x7534y6550",7534,6550,16,14
"x8034y6550",8034,6550,17,14
"x8534y6550",8534,6550,18,14
"x9034y6550",9034,6550,19,14
"x9534y6550",9534,6550,20,14
"x10034y6550",10034,6550,21,14
"x10534y6550",10534,6550,22,14
"x34y7050",34,7050,1,15
"x534y7050",534,7050,2,15
"x1034y7050",1034,7050,3,15
"x1534y7050",1534,7050,4,15
"x2034y7050",2034,7050,5,15
"x2534y7050",2534,7050,6,15
"x3034y7050",3034,7050,7,15
"x3534y7050",3534,7050,8,15
"x4534y7050",4534,7050,10,15
"x5034y7050",5034,7050,11,15
"x5534y7050",5534,7050,12,15
"x6034y7050",6034,7050,13,15
"x6534y7050",6534,7050,14,15
"x7034y7050",7034,7050,15,15
"x7534y7050",7534,7050,16,15
"x8034y7050",8034,7050,17,15
"x8534y7050",8534,7050,18,15
"x9034y7050",9034,7050,19,15
"x9534y7050",9534,7050,20,15
"x10034y7050",10034,7050,21,15
"x10534y7050",10534,7050,22,15
"x34y7550",34,7550,1,16
"x534y7550",534,7550,2,16
"x1034y7550",1034,7550,3,16
"x1534y7550",1534,7550,4,16
"x2034y7550",2034,7550,5,16
"x2534y7550",2534,7550,6,16
"x3034y7550",3034,7550,7,16
"x3534y7550",3534,7550,8,16
"x4534y7550",4534,7550,10,16
"x5034y7550",5034,7550,11,16
"x5534y7550",5534,7550,12,16
"x6034y7550",6034,7550,13,16
"x6534y7550",6534,7550,14,16
"x7034y7550",7034,7550,15,16
"x7534y7550",7534,7550,16,16
"x8034y7550",8034,7550,17,16
"x8534y7550",8534,7550,18,16
"x9034y7550",9034,7550,19,16
"x9534y7550",9534,7550,20,16
"x10034y7550",10034,7550,21,16
"x10534y7550",10534,7550,22,16
"x34y8050",34,8050,1,17
"x534y8050",534,8050,2,17
"x1034y8050",1034,8050,3,17
"x1534y8050",1534,8050,4,17
"x2034y8050",2034,8050,5,17
"x2534y8050",2534,8050,6,17
"x3034y8050",3034,8050,7,17
"x4534y8050",4534,8050,10,17
"x5034y8050",5034,8050,11,17
"x5534y8050",5534,8050,12,17
"x6034y8050",6034,8050,13,17
"x6534y8050",6534,8050,14,17
"x7034y8050",7034,8050,15,17
"x7534y8050",7534,8050,16,17
"x8034y8050",8034,8050,17,17
"x8534y8050",8534,8050,18,17
"x9034y8050",9034,8050,19,17
"x9534y8050",9534,8050,20,17
"x10034y8050",10034,8050,21,17
"x10534y8050",10534,8050,22,17
"x34y8550",34,8550,1,18
"x534y8550",534,8550,2,18
"x1034y8550",1034,8550,3,18
"x1534y8550",1534,8550,4,18
"x2034y8550",2034,8550,5,18
"x2534y8550",2534,8550,6,18
"x3034y8550",3034,8550,7,18
"x4534y8550",4534,8550,10,18
"x5034y8550",5034,8550,11,18
"x5534y8550",5534,8550,12,18
"x6034y8550",6034,8550,13,18
"x6534y8550",6534,8550,14,18
"x7034y8550",7034,8550,15,18
"x7534y8550",7534,8550,16,18
"x8034y8550",8034,8550,17,18
"x8534y8550",8534,8550,18,18
"x9034y8550",9034,8550,19,18
"x9534y8550",9534,8550,20,18
"x10034y8550",10034,8550,21,18
"x10534y8550",10534,8550,22,18
"x34y9050",34,9050,1,19
"x534y9050",534,9050,2,19
"x1034y9050",1034,9050,3,19
"x1534y9050",1534,9050,4,19
"x2034y9050",2034,9050,5,19
"x2534y9050",2534,9050,6,19
"x3034y9050",3034,9050,7,19
"x4534y9050",4534,9050,10,19
"x5034y9050",5034,9050,11,19
"x5534y9050",5534,9050,12,19
"x6034y9050",6034,9050,13,19
"x6534y9050",6534,9050,14,19
"x7034y9050",7034,9050,15,19
"x7534y9050",7534,9050,16,19
"x8034y9050",8034,9050,17,19
"x8534y9050",8534,9050,18,19
"x9034y9050",9034,9050,19,19
"x9534y9050",9534,9050,20,19
"x10034y9050",10034,9050,21,19
"x10534y9050",10534,9050,22,19
"x34y9550",34,9550,1,20
"x534y9550",534,9550,2,20
"x1034y9550",1034,9550,3,20
"x1534y9550",1534,9550,4,20
"x2034y9550",2034,9550,5,20
"x2534y9550",2534,9550,6,20
"x3034y9550",3034,9550,7,20
"x3534y9550",3534,9550,8,20
"x4534y9550",4534,9550,10,20
"x5034y9550",5034,9550,11,20
"x5534y9550",5534,9550,12,20
"x6034y9550",6034,9550,13,20
"x6534y9550",6534,9550,14,20
"x7034y9550",7034,9550,15,20
"x7534y9550",7534,9550,16,20
"x8034y9550",8034,9550,17,20
"x8534y9550",8534,9550,18,20
"x9034y9550",9034,9550,19,20
"x9534y9550",9534,9550,20,20
"x10034y9550",10034,9550,21,20
"x10534y9550",10534,9550,22,20
"x34y10050",34,10050,1,21
"x534y10050",534,10050,2,21
"x1034y10050",1034,10050,3,21
"x1534y10050",1534,10050,4,21
"x2034y10050",2034,10050,5,21
"x2534y10050",2534,10050,6,21
"x3034y10050",3034,10050,7,21
"x3534y10050",3534,10050,8,21
"x4534y10050",4534,10050,10,21
"x5034y10050",5034,10050,11,21
"x5534y10050",5534,10050,12,21
"x6034y10050",6034,10050,13,21
"x6534y10050",6534,10050,14,21
"x7034y10050",7034,10050,15,21
"x7534y10050",7534,10050,16,21
"x8034y10050",8034,10050,17,21
"x8534y10050",8534,10050,18,21
"x9034y10050",9034,10050,19,21
"x9534y10050",9534,10050,20,21
"x10034y10050",10034,10050,21,21
"x10534y10050",10534,10050,22,21
"x34y10550",34,10550,1,22
"x534y10550",534,10550,2,22
"x1034y10550",1034,10550,3,22
"x1534y10550",1534,10550,4,22
"x2034y10550",2034,10550,5,22
"x2534y10550",2534,10550,6,22
"x3034y10550",3034,10550,7,22
"x3534y10550",3534,10550,8,22
"x4534y10550",4534,10550,10,22
"x5034y10550",5034,10550,11,22
"x5534y10550",5534,10550,12,22
"x6034y10550",6034,10550,13,22
"x6534y10550",6534,10550,14,22
"x7034y10550",7034,10550,15,22
"x7534y10550",7534,10550,16,22
"x8034y10550",8034,10550,17,22
"x8534y10550",8534,10550,18,22
"x9034y10550",9034,10550,19,22
"x9534y10550",9534,10550,20,22
"x10034y10550",10034,10550,21,22
"x10534y10550",10534,10550,22,22
"x34y11050",34,11050,1,23
"x534y11050",534,11050,2,23
"x1034y11050",1034,11050,3,23
"x1534y11050",1534,11050,4,23
"x2034y11050",2034,11050,5,23
"x2534y11050",2534,11050,6,23
"x3034y11050",3034,11050,7,23
"x3534y11050",3534,11050,8,23
"x4534y11050",4534,11050,10,23
"x5034y11050",5034,11050,11,23
"x5534y11050",5534,11050,12,23
"x6034y11050",6034,11050,13,23
"x6534y11050",6534,11050,14,23
"x7034y11050",7034,11050,15,23
"x7534y11050",7534,11050,16,23
"x8034y11050",8034,11050,17,23
"x8534y11050",8534,11050,18,23
"x9034y11050",9034,11050,19,23
"x9534y11050",9534,11050,20,23
"x10034y11050",10034,11050,21,23
"x10534y11050",10534,11050,22,23
"x34y11550",34,11550,1,24
"x534y11550",534,11550,2,24
"x1034y11550",1034,11550,3,24
"x1534y11550",1534,11550,4,24
"x2034y11550",2034,11550,5,24
"x2534y11550",2534,11550,6,24
"x3034y11550",3034,11550,7,24
"x3534y11550",3534,11550,8,24
"x4534y11550",4534,11550,10,24
"x5034y11550",5034,11550,11,24
"x5534y11550",5534,11550,12,24
"x6034y11550",6034,11550,13,24
"x6534y11550",6534,11550,14,24
"x7034y11550",7034,11550,15,24
"x8034y11550",8034,11550,17,24
"x8534y11550",8534,11550,18,24
"x9034y11550",9034,11550,19,24
"x9534y11550",9534,11550,20,24
"x10034y11550",10034,11550,21,24
"x10534y11550",10534,11550,22,24
"x34y12050",34,12050,1,25
"x534y12050",534,12050,2,25
"x1034y12050",1034,12050,3,25
"x1534y12050",1534,12050,4,25
"x2034y12050",2034,12050,5,25
"x2534y12050",2534,12050,6,25
"x3034y12050",3034,12050,7,25
"x3534y12050",3534,12050,8,25
"x4534y12050",4534,12050,10,25
"x5034y12050",5034,12050,11,25
"x5534y12050",5534,12050,12,25
"x6034y12050",6034,12050,13,25
"x6534y12050",6534,12050,14,25
"x7034y12050",7034,12050,15,25
"x8034y12050",8034,12050,17,25
"x8534y12050",8534,12050,18,25
"x9034y12050",9034,12050,19,25
"x9534y12050",9534,12050,20,25
"x10034y12050",10034,12050,21,25
"x10534y12050",10534,12050,22,25
"x34y12550",34,12550,1,26
"x534y12550",534,12550,2,26
"x1034y12550",1034,12550,3,26
"x1534y12550",1534,12550,4,26
"x2034y12550",2034,12550,5,26
"x2534y12550",2534,12550,6,26
"x3034y12550",3034,12550,7,26
"x3534y12550",3534,12550,8,26
"x4534y12550",4534,12550,10,26
"x5034y12550",5034,12550,11,26
"x5534y12550",5534,12550,12,26
"x6034y12550",6034,12550,13,26
"x6534y12550",6534,12550,14,26
"x7034y12550",7034,12550,15,26
"x7534y12550",7534,12550,16,26
"x8034y12550",8034,12550,17,26
"x8534y12550",8534,12550,18,26
"x9034y12550",9034,12550,19,26
"x10034y12550",10034,12550,21,26
"x10534y12550",10534,12550,22,26
"x34y13050",34,13050,1,27
"x534y13050",534,13050,2,27
"x1034y13050",1034,13050,3,27
"x1534y13050",1534,13050,4,27
"x2034y13050",2034,13050,5,27
"x2534y13050",2534,13050,6,27
"x3034y13050",3034,13050,7,27
"x3534y13050",3534,13050,8,27
"x4534y13050",4534,13050,10,27
"x5034y13050",5034,13050,11,27
"x5534y13050",5534,13050,12,27
"x6034y13050",6034,13050,13,27
"x6534y13050",6534,13050,14,27
"x7034y13050",7034,13050,15,27
"x7534y13050",7534,13050,16,27
"x8034y13050",8034,13050,17,27
"x8534y13050",8534,13050,18,27
"x10034y13050",10034,13050,21,27
"x10534y13050",10534,13050,22,27
"x34y13550",34,13550,1,28
"x534y13550",534,13550,2,28
"x1034y13550",1034,13550,3,28
"x1534y13550",1534,13550,4,28
"x2034y13550",2034,13550,5,28
"x2534y13550",2534,13550,6,28
"x3034y13550",3034,13550,7,28
"x3534y13550",3534,13550,8,28
"x4534y13550",4534,13550,10,28
"x5034y13550",5034,13550,11,28
"x5534y13550",5534,13550,12,28
"x6034y13550",6034,13550,13,28
"x7034y13550",7034,13550,15,28
"x7534y13550",7534,13550,16,28
"x8034y13550",8034,13550,17,28
"x9034y13550",9034,13550,19,28
"x10034y13550",10034,13550,21,28
"x10534y13550",10534,13550,22,28
"x34y14050",34,14050,1,29
"x534y14050",534,14050,2,29
"x1034y14050",1034,14050,3,29
"x1534y14050",1534,14050,4,29
"x2034y14050",2034,14050,5,29
"x2534y14050",2534,14050,6,29
"x3034y14050",3034,14050,7,29
"x3534y14050",3534,14050,8,29
"x4534y14050",4534,14050,10,29
"x5034y14050",5034,14050,11,29
"x5534y14050",5534,14050,12,29
"x6034y14050",6034,14050,13,29
"x7034y14050",7034,14050,15,29
"x7534y14050",7534,14050,16,29
"x9534y14050",9534,14050,20,29
"x10034y14050",10034,14050,21,29
"x10534y14050",10534,14050,22,29
"x34y14550",34,14550,1,30
"x1034y14550",1034,14550,3,30
"x1534y14550",1534,14550,4,30
"x2034y14550",2034,14550,5,30
"x2534y14550",2534,14550,6,30
"x3034y14550",3034,14550,7,30
