"","Astro","eL2/3","eL4","eL5","eL6","Endo","Micro","Oligo","PVALB","Smc","SST","VIP"
"x6534y7050",0.5,0,0,0,0.5,0,0,0,0,0,0,0
"x7034y7050",0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0
"x7534y7050",0,0,0,1,0,0,0,0,0,0,0,0
"x8034y7050",0,0,0,0.5,0,0,0.5,0,0,0,0,0
"x8534y7050",0,0,0,1,0,0,0,0,0,0,0,0
"x9034y7050",0.2,0,0,0,0.2,0,0.2,0,0.4,0,0,0
"x9534y7050",0.5,0,0,0,0,0,0.5,0,0,0,0,0
"x10034y7050",0,0,0,0,0,0,0,0,1,0,0,0
"x10534y7050",0,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0
"x34y7550",0.5,0,0,0,0.5,0,0,0,0,0,0,0
"x534y7550",0.6,0,0,0,0.2,0.2,0,0,0,0,0,0
"x1034y7550",0.25,0,0,0.25,0,0,0,0.25,0.25,0,0,0
"x1534y7550",0,0,0,0.5,0,0.25,0,0,0.25,0,0,0
"x2034y7550",0.25,0,0,0.5,0.25,0,0,0,0,0,0,0
"x2534y7550",0.5,0,0,0,0,0,0,0,0.5,0,0,0
"x3034y7550",0,0,0,1,0,0,0,0,0,0,0,0
"x3534y7550",0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0
"x4534y7550",0,0,1,0,0,0,0,0,0,0,0,0
"x5034y7550",0,0,0,1,0,0,0,0,0,0,0,0
"x5534y7550",0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"x6034y7550",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0
"x6534y7550",0,0,0,1,0,0,0,0,0,0,0,0
"x7034y7550",0.25,0,0,0.25,0.5,0,0,0,0,0,0,0
"x7534y7550",1,0,0,0,0,0,0,0,0,0,0,0
"x8034y7550",0.5,0,0.166666666666667,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0
"x8534y7550",0.25,0,0.25,0,0,0,0,0.5,0,0,0,0
"x9034y7550",0,0,1,0,0,0,0,0,0,0,0,0
"x9534y7550",0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0
"x10034y7550",0,0,1,0,0,0,0,0,0,0,0,0
"x10534y7550",0,0,1,0,0,0,0,0,0,0,0,0
"x34y8050",0.333333333333333,0,0,0.166666666666667,0,0,0,0,0.5,0,0,0
"x534y8050",0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333
"x1034y8050",0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333
"x1534y8050",0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"x2034y8050",0,0,0,0.6,0,0.2,0,0.2,0,0,0,0
"x2534y8050",0.6,0,0,0.2,0,0,0,0,0,0,0.2,0
"x3034y8050",0.333333333333333,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0
"x4534y8050",0,0,0.25,0.5,0,0,0,0,0.25,0,0,0
"x5034y8050",0.25,0,0,0.5,0,0.25,0,0,0,0,0,0
"x5534y8050",0,0,0,0.25,0,0.75,0,0,0,0,0,0
"x6034y8050",0.333333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0,0
"x6534y8050",0,0,1,0,0,0,0,0,0,0,0,0
"x7034y8050",0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0
"x7534y8050",0.2,0,0.2,0,0,0,0,0.2,0,0,0.4,0
"x8034y8050",0,0,1,0,0,0,0,0,0,0,0,0
"x8534y8050",0,0,0.5,0,0.25,0,0,0,0.25,0,0,0
"x9034y8050",0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"x9534y8050",0,0,0.8,0.2,0,0,0,0,0,0,0,0
"x10034y8050",0,0,0.5,0,0,0.25,0,0.25,0,0,0,0
"x10534y8050",0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"x34y8550",0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0
"x534y8550",1,0,0,0,0,0,0,0,0,0,0,0
"x1034y8550",0.75,0,0,0,0,0,0.25,0,0,0,0,0
"x1534y8550",1,0,0,0,0,0,0,0,0,0,0,0
"x2034y8550",1,0,0,0,0,0,0,0,0,0,0,0
"x2534y8550",0.333333333333333,0,0,0.5,0.166666666666667,0,0,0,0,0,0,0
"x3034y8550",0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0
"x4534y8550",0,0,1,0,0,0,0,0,0,0,0,0
"x5034y8550",0.25,0.25,0.25,0,0,0,0.25,0,0,0,0,0
"x5534y8550",0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0,0,0
"x6034y8550",0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"x6534y8550",0,0,1,0,0,0,0,0,0,0,0,0
"x7034y8550",0.166666666666667,0,0.5,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0
"x7534y8550",0,0,1,0,0,0,0,0,0,0,0,0
"x8034y8550",0.25,0.25,0.5,0,0,0,0,0,0,0,0,0
"x8534y8550",0,0,0.666666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0
"x9034y8550",0,0,0.75,0,0,0,0,0.25,0,0,0,0
"x9534y8550",0.25,0,0.375,0,0,0.125,0,0.125,0,0,0.125,0
"x10034y8550",0,0,1,0,0,0,0,0,0,0,0,0
"x10534y8550",0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0
"x34y9050",0.25,0,0.75,0,0,0,0,0,0,0,0,0
"x534y9050",0.4,0,0.4,0,0,0,0,0,0.2,0,0,0
"x1034y9050",0.25,0,0.5,0,0,0,0,0,0.25,0,0,0
"x1534y9050",0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"x2034y9050",0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0
"x2534y9050",0.142857142857143,0,0,0.428571428571429,0.142857142857143,0,0,0,0.285714285714286,0,0,0
"x3034y9050",1,0,0,0,0,0,0,0,0,0,0,0
"x4534y9050",0,0.2,0.8,0,0,0,0,0,0,0,0,0
"x5034y9050",0,0,0,0,0,0,0,0,0,0,1,0
"x5534y9050",0,0,0.6,0,0,0.4,0,0,0,0,0,0
"x6034y9050",0,0,0.857142857142857,0,0,0.142857142857143,0,0,0,0,0,0
"x6534y9050",0.166666666666667,0,0.5,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0
"x7034y9050",0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0
"x7534y9050",0,0,1,0,0,0,0,0,0,0,0,0
"x8034y9050",0,0.166666666666667,0.833333333333333,0,0,0,0,0,0,0,0,0
"x8534y9050",0,0.2,0.8,0,0,0,0,0,0,0,0,0
"x9034y9050",0.2,0,0.8,0,0,0,0,0,0,0,0,0
"x9534y9050",0.25,0,0.75,0,0,0,0,0,0,0,0,0
"x10034y9050",0,0.4,0.4,0,0,0.2,0,0,0,0,0,0
"x10534y9050",0.666666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"x34y9550",0.2,0,0.6,0,0.2,0,0,0,0,0,0,0
"x534y9550",0,0,0.5,0.25,0,0.25,0,0,0,0,0,0
"x1034y9550",0.25,0,0,0,0,0.25,0,0.25,0,0,0.25,0
"x1534y9550",0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0
"x2034y9550",0,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"x2534y9550",0,0,0,0.5,0,0,0.5,0,0,0,0,0
"x3034y9550",0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0
"x3534y9550",0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0
"x4534y9550",0,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0
"x5034y9550",0,0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"x5534y9550",0,0,0.6,0,0,0.4,0,0,0,0,0,0
"x6034y9550",0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
"x6534y9550",0,0,0.857142857142857,0,0,0.142857142857143,0,0,0,0,0,0
"x7034y9550",0,0,0.8,0,0,0,0.2,0,0,0,0,0
"x7534y9550",0,0,0.833333333333333,0,0,0,0,0,0.166666666666667,0,0,0
"x8034y9550",0,0,1,0,0,0,0,0,0,0,0,0
"x8534y9550",0,0,0.6,0,0.2,0.2,0,0,0,0,0,0
"x9034y9550",0,0.166666666666667,0.666666666666667,0,0,0,0.166666666666667,0,0,0,0,0
"x9534y9550",0.333333333333333,0.166666666666667,0.5,0,0,0,0,0,0,0,0,0
"x10034y9550",0,0.5,0,0,0.5,0,0,0,0,0,0,0
"x10534y9550",0,0,0.75,0,0.25,0,0,0,0,0,0,0
"x34y10050",0.142857142857143,0,0.571428571428571,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0
"x534y10050",0,0.25,0.5,0,0,0.25,0,0,0,0,0,0
"x1034y10050",0.5,0,0.5,0,0,0,0,0,0,0,0,0
"x1534y10050",0,0.166666666666667,0.833333333333333,0,0,0,0,0,0,0,0,0
"x2034y10050",0.166666666666667,0,0.833333333333333,0,0,0,0,0,0,0,0,0
"x2534y10050",0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0
"x3034y10050",0.142857142857143,0,0.428571428571429,0,0,0,0,0,0.142857142857143,0,0.142857142857143,0.142857142857143
"x3534y10050",1,0,0,0,0,0,0,0,0,0,0,0
"x4534y10050",0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"x5034y10050",0,0,0.5,0.25,0,0.25,0,0,0,0,0,0
"x5534y10050",0,0.5,0,0,0,0.5,0,0,0,0,0,0
"x6034y10050",0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"x6534y10050",0,0,1,0,0,0,0,0,0,0,0,0
"x7034y10050",0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0
"x7534y10050",0,0,1,0,0,0,0,0,0,0,0,0
"x8034y10050",0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"x8534y10050",0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0
"x9034y10050",0,0.75,0.25,0,0,0,0,0,0,0,0,0
"x9534y10050",0.25,0.5,0,0,0.25,0,0,0,0,0,0,0
"x10034y10050",0.166666666666667,0.666666666666667,0,0,0,0,0,0,0.166666666666667,0,0,0
"x10534y10050",0,1,0,0,0,0,0,0,0,0,0,0
"x34y10550",0,0,0.6,0,0,0.2,0,0.2,0,0,0,0
"x534y10550",0,0,1,0,0,0,0,0,0,0,0,0
"x1034y10550",0,0,1,0,0,0,0,0,0,0,0,0
"x1534y10550",0,0,1,0,0,0,0,0,0,0,0,0
"x2034y10550",0,0,1,0,0,0,0,0,0,0,0,0
"x2534y10550",0,0,0.833333333333333,0,0,0,0,0,0,0,0,0.166666666666667
"x3034y10550",0,0,1,0,0,0,0,0,0,0,0,0
"x3534y10550",0,0,0.5,0,0,0.5,0,0,0,0,0,0
"x4534y10550",0,1,0,0,0,0,0,0,0,0,0,0
"x5034y10550",0,0.5,0.25,0,0,0.25,0,0,0,0,0,0
"x5534y10550",0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0
"x6034y10550",0,0.2,0,0.2,0,0.4,0,0,0.2,0,0,0
"x6534y10550",0.25,0.25,0.5,0,0,0,0,0,0,0,0,0
"x7034y10550",0,0.75,0.25,0,0,0,0,0,0,0,0,0
"x7534y10550",0,0,0,0,0,0,0.5,0.5,0,0,0,0
"x8034y10550",0,1,0,0,0,0,0,0,0,0,0,0
"x8534y10550",0.142857142857143,0.428571428571429,0,0.142857142857143,0,0,0,0,0,0,0,0.285714285714286
"x9034y10550",0,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0
"x9534y10550",0,1,0,0,0,0,0,0,0,0,0,0
"x10034y10550",0,0.8,0.2,0,0,0,0,0,0,0,0,0
"x10534y10550",0,0,0.5,0,0.5,0,0,0,0,0,0,0
"x34y11050",0.25,0,0.25,0,0,0.5,0,0,0,0,0,0
"x534y11050",0,0.333333333333333,0.5,0,0,0,0.166666666666667,0,0,0,0,0
"x1034y11050",0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"x1534y11050",0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0
"x2034y11050",0,0,1,0,0,0,0,0,0,0,0,0
"x2534y11050",0,0.111111111111111,0.555555555555556,0.111111111111111,0,0.222222222222222,0,0,0,0,0,0
"x3034y11050",0.25,0,0.75,0,0,0,0,0,0,0,0,0
"x3534y11050",0.2,0.2,0.4,0,0,0,0,0.2,0,0,0,0
"x4534y11050",0,0.333333333333333,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0.333333333333333,0
"x5034y11050",0.25,0.25,0,0,0,0.5,0,0,0,0,0,0
"x5534y11050",0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0
"x6034y11050",0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0
"x6534y11050",0,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0.2
"x7034y11050",0.25,0.5,0,0,0,0,0,0,0,0,0,0.25
"x7534y11050",0,1,0,0,0,0,0,0,0,0,0,0
"x8034y11050",0,1,0,0,0,0,0,0,0,0,0,0
"x8534y11050",0,1,0,0,0,0,0,0,0,0,0,0
"x9034y11050",0,0.2,0,0,0.4,0,0,0,0.4,0,0,0
"x9534y11050",0,0.5,0,0,0.5,0,0,0,0,0,0,0
"x10034y11050",0.5,0.5,0,0,0,0,0,0,0,0,0,0
"x10534y11050",0,0.5,0,0,0,0,0,0,0,0,0.5,0
"x34y11550",0,0.75,0,0,0,0,0,0,0,0,0,0.25
"x534y11550",0,0,0.8,0,0,0,0,0,0.2,0,0,0
"x1034y11550",0,0.5,0.25,0,0,0,0,0.25,0,0,0,0
"x1534y11550",0.5,0.25,0,0,0,0.25,0,0,0,0,0,0
"x2034y11550",0.2,0,0.6,0,0,0,0,0.2,0,0,0,0
"x2534y11550",0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0
"x3034y11550",0,0.25,0.75,0,0,0,0,0,0,0,0,0
"x3534y11550",0,0.5,0.5,0,0,0,0,0,0,0,0,0
"x4534y11550",0,1,0,0,0,0,0,0,0,0,0,0
"x5034y11550",0,0.4,0,0,0.2,0.4,0,0,0,0,0,0
"x5534y11550",0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0
"x6034y11550",0,0.5,0,0,0.5,0,0,0,0,0,0,0
"x6534y11550",0,0.5,0.25,0,0,0,0,0.25,0,0,0,0
"x7034y11550",0,0.5,0,0,0,0,0,0.25,0.25,0,0,0
"x8034y11550",0,1,0,0,0,0,0,0,0,0,0,0
"x8534y11550",0.25,0.75,0,0,0,0,0,0,0,0,0,0
"x9034y11550",0.25,0.5,0,0,0,0,0,0,0,0,0.25,0
"x9534y11550",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0
"x10034y11550",0,0.8,0,0,0,0,0.2,0,0,0,0,0
"x10534y11550",0,1,0,0,0,0,0,0,0,0,0,0
"x34y12050",0,0.6,0,0,0,0.2,0,0,0.2,0,0,0
"x534y12050",0,0.666666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333
"x1034y12050",0,0,0.5,0,0,0,0,0.25,0,0,0,0.25
"x1534y12050",0,0.6,0.4,0,0,0,0,0,0,0,0,0
"x2034y12050",0.333333333333333,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0
"x2534y12050",0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0
"x3034y12050",0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0
"x3534y12050",0,0,1,0,0,0,0,0,0,0,0,0
"x4534y12050",0,1,0,0,0,0,0,0,0,0,0,0
"x5034y12050",0,0.4,0,0,0,0.6,0,0,0,0,0,0
"x5534y12050",0.5,0,0.5,0,0,0,0,0,0,0,0,0
"x6034y12050",0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.666666666666667
"x6534y12050",0,1,0,0,0,0,0,0,0,0,0,0
"x7034y12050",0.166666666666667,0.5,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0
"x8034y12050",0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0
"x8534y12050",0,0.5,0,0,0,0,0.25,0,0,0,0,0.25
"x9034y12050",0,1,0,0,0,0,0,0,0,0,0,0
"x9534y12050",0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0
"x10034y12050",0.5,0.25,0,0,0.25,0,0,0,0,0,0,0
"x10534y12050",0,1,0,0,0,0,0,0,0,0,0,0
"x34y12550",0,0.8,0,0,0,0.2,0,0,0,0,0,0
"x534y12550",0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.25
"x1034y12550",0,0,0,0,0,1,0,0,0,0,0,0
"x1534y12550",0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0
"x2034y12550",0,0.5,0.5,0,0,0,0,0,0,0,0,0
"x2534y12550",0.25,0,0.5,0,0,0,0,0,0,0,0.25,0
"x3034y12550",0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"x3534y12550",0,0,1,0,0,0,0,0,0,0,0,0
"x4534y12550",0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333
"x5034y12550",0,0.2,0,0,0,0.8,0,0,0,0,0,0
"x5534y12550",0,0.285714285714286,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0
