,Oligo,eL2/3,eL4,eL5,eL6
x10034y3863,0.0,0.0,0.0,0.0,1.0
x10534y3863,0.0,0.0,0.0,0.0,1.0
x34y4363,0.0,0.0,0.0,0.0,1.0
x534y4363,0.0,0.0,0.0,0.0,1.0
x1034y4363,1.0,0.0,0.0,0.0,0.0
x1534y4363,0.0,0.0,0.0,0.0,1.0
x2034y4363,0.8369870576937529,0.0,0.0,0.16301294230624705,0.0
x2534y4363,0.5474213905058393,0.0,0.0,0.13076371469942702,0.3218148947947337
x3034y4363,1.0,0.0,0.0,0.0,0.0
x4534y4363,0.0,0.0,0.0,0.0,1.0
x5034y4363,0.0,0.10268186569296112,0.0,0.07177553510121826,0.8255425992058207
x5534y4363,0.0,0.0,0.0,0.0,1.0
x6034y4363,0.0,0.0,0.0,0.0,1.0
x6534y4363,0.0,0.0,0.0,0.0,1.0
x7034y4363,0.0,0.0,0.0,1.0,0.0
x8034y4363,0.0,0.13745713920909508,0.0,0.0,0.8625428607909049
x8534y4363,0.0,0.0,0.0,0.0,1.0
x9034y4363,0.0,0.0,0.0,0.0,1.0
x9534y4363,0.0,0.14257940117896362,0.0,0.07503575190934263,0.7823848469116939
x10034y4363,0.0,0.0,0.0,0.1332385574457711,0.8667614425542288
x10534y4363,0.0,0.0,0.0,0.0,1.0
x34y4863,0.0,0.0,0.0,0.0,1.0
x534y4863,0.0,0.0,0.0,0.0,1.0
x1034y4863,0.0,0.05381807458110797,0.0,0.0,0.946181925418892
x1534y4863,0.0,0.0,0.0,0.0,1.0
x2034y4863,0.0,0.0,0.0,0.1813102931838849,0.8186897068161151
x2534y4863,0.48484454368538893,0.0,0.0,0.0,0.515155456314611
x3034y4863,0.5712112029903386,0.0,0.0,0.0,0.4287887970096614
x3534y4863,0.0,0.0,0.0,0.28614050761767484,0.7138594923823252
x4534y4863,0.0,0.0,0.0,0.0,1.0
x5034y4863,0.0037343146705251145,0.1173441918796152,0.0,0.0,0.8789214934498597
x5534y4863,0.0,0.16222337421861563,0.0,0.0,0.8377766257813843
x6034y4863,0.00833981463703055,0.0,0.0,0.0,0.9916601853629694
x6534y4863,0.0,0.0,0.0,0.0,1.0
x7034y4863,0.0,0.0,0.0,0.0,1.0
x7534y4863,0.0,0.7024108024340814,0.0,0.2975891975659186,0.0
x8034y4863,0.17017208773585005,0.0,0.0,0.0,0.82982791226415
x8534y4863,0.0,0.0,0.0,0.0,1.0
x9034y4863,0.07753248573086549,0.0,0.0,0.1401755297493307,0.7822919845198039
x9534y4863,0.0,0.1800707182068019,0.18889157983057034,0.0,0.6310377019626277
x10034y4863,0.0,0.0,0.0,0.47521750745557034,0.5247824925444295
x10534y4863,0.0,0.0,0.0,1.0,0.0
x34y5363,0.0,0.09124099190179265,0.0,0.0,0.9087590080982073
x534y5363,3.0390578430650176e-09,0.0,0.0,0.0,0.9999999969609421
x1034y5363,0.0,0.0,0.0,0.0,1.0
x1534y5363,0.0,0.0,0.0,0.0,1.0
x2034y5363,0.0,0.0,0.0,0.03521471916787328,0.9647852808321267
x2534y5363,0.09503097981829488,0.0,0.0,0.0,0.9049690201817051
x3034y5363,0.21215791421907162,0.0,0.0,0.0,0.7878420857809284
x3534y5363,0.0,0.0,0.0,0.19649002884937852,0.8035099711506214
x4534y5363,0.21030074627301362,0.0,0.0,0.0,0.7896992537269863
x5034y5363,0.0,0.0,0.0,0.2043212138004864,0.7956787861995136
x5534y5363,0.0,0.0,0.0,0.0,1.0
x6034y5363,0.0,0.0,0.0,0.0,1.0
x6534y5363,0.0,0.0,0.0,0.0,1.0
x7034y5363,0.0,0.0,0.0,0.37988971892255663,0.6201102810774435
x8534y5363,0.853958029384484,0.10371091227895388,0.04233105833656213,0.0,0.0
x9034y5363,0.0,0.1942367223156155,0.0,0.0,0.8057632776843845
x9534y5363,0.07120427109114963,0.17445046666491637,0.0,0.0,0.754345262243934
x10034y5363,0.0,0.0,0.23998193715019958,0.0,0.7600180628498004
x34y5863,0.0,0.12276876477933803,0.0,0.0,0.8772312352206619
x534y5863,0.0,0.0,0.1225306209529036,0.07461490236822506,0.8028544766788712
x1034y5863,0.0,0.1658424217465514,0.0,0.0036135250607546732,0.830544053192694
x1534y5863,0.0,0.0,0.0,0.0666596438755829,0.9333403561244171
x2034y5863,0.0,0.0,0.0,0.0,1.0
x2534y5863,0.0,0.0,0.0,0.0,1.0
x3034y5863,0.0,0.0,0.0,0.0,1.0
x3534y5863,0.0,0.06424292917682865,0.0,0.0,0.9357570708231714
x4534y5863,0.6075028236337306,0.0,0.0,0.0,0.39249717636626924
x5034y5863,0.0,0.474061053884402,0.0,0.525938946115598,0.0
x5534y5863,0.06965718637078991,0.0,0.0,0.0,0.9303428136292101
x6534y5863,0.0,0.0,0.0,0.5540906304219207,0.4459093695780793
x7034y5863,0.0,0.10758040576244501,0.0,0.892419594237555,0.0
x7534y5863,0.2578551552032045,0.0,0.0,0.0,0.7421448447967955
x8034y5863,0.0,0.0,0.20467767141540863,0.7953223285845914,0.0
x8534y5863,0.2869829376151271,0.2873724866070562,0.0,0.0,0.4256445757778166
x9034y5863,0.6237070997807298,0.0,0.0,0.3762929002192702,0.0
x9534y5863,0.0,0.11999416539503661,0.14019543944332144,0.4211389691316032,0.3186714260300388
x10034y5863,0.0,0.0,0.0,1.0,0.0
x10534y5863,0.0,0.0,0.032958890318225846,0.7998598575332144,0.16718125214855975
x34y6363,0.35640677508543767,0.0,0.0,0.33145835809176843,0.31213486682279384
x534y6363,0.5861506218969514,0.0,0.16569777272617559,0.2481516053768731,0.0
x1034y6363,0.0,0.104600615793187,0.0,0.0,0.895399384206813
x1534y6363,0.0,0.0,0.0,0.0,1.0
x2034y6363,0.442518877184642,0.0,0.0,0.1529935659740615,0.40448755684129645
x2534y6363,0.3296088774978708,0.0,0.0,0.0,0.6703911225021292
x3034y6363,0.053136406874306576,0.0,0.0,0.0,0.9468635931256935
x3534y6363,0.0,0.0,0.0,0.0,1.0
x4534y6363,0.0,0.18620646622228143,0.1119331083638433,0.33219531963155924,0.36966510578231604
x5034y6363,0.0,0.0,0.0,1.0,0.0
x5534y6363,0.0,0.0,0.0,1.0,0.0
x6034y6363,0.9078516484609855,0.0,0.09214835153901452,0.0,0.0
x6534y6363,0.0,0.0,0.0,1.0,0.0
x7034y6363,0.2545297939855721,0.0,0.0,0.6443120082648106,0.10115819774961736
x7534y6363,0.0,0.0,0.0,1.0,0.0
x8034y6363,0.0,0.0,0.0,1.0,0.0
x8534y6363,0.0,0.0,0.0,1.0,0.0
x9034y6363,0.5926498538525176,0.0,0.0,0.2589386959379653,0.14841145020951713
x9534y6363,0.049080802105206475,0.0,0.0,0.6301957284731315,0.3207234694216619
x10034y6363,0.05087722268841081,0.0,0.0,0.9491227773115892,0.0
x10534y6363,0.0,0.0,0.0,1.0,0.0
x34y6863,0.04138679132673127,0.0,0.0,0.9586132086732687,0.0
x534y6863,0.0942960157840813,0.0,0.0,0.9057039842159188,0.0
x1534y6863,0.0,0.0,0.14636980774423436,0.6018864922494048,0.2517437000063608
x2034y6863,0.0,0.0,0.3443405683667008,0.6556594316332992,0.0
x2534y6863,0.12332919852424765,0.0,0.16136936476164346,0.148448625036356,0.5668528116777528
x3034y6863,0.0,0.0,0.2758071846127323,0.0,0.7241928153872677
x3534y6863,0.0,0.033031306939539415,0.4350978314961892,0.0,0.5318708615642713
x5034y6863,0.1786665301683622,0.21978686913933942,0.0,0.4924628685894073,0.10908373210289123
x5534y6863,0.28590363164287325,0.0,0.0,0.7140963683571269,0.0
x6034y6863,0.0,0.0,0.0,1.0,0.0
x6534y6863,0.0,0.0,0.0,0.0,1.0
x7034y6863,0.6295045242768388,0.0,0.0,0.3704954757231612,0.0
x7534y6863,0.0,0.0,0.0,1.0,0.0
x8034y6863,0.0,0.0,0.0,1.0,0.0
x8534y6863,0.0,0.0,0.0,1.0,0.0
x9034y6863,0.0,0.08068922501894916,0.10839305179911352,0.6183704188029463,0.192547304378991
x9534y6863,0.0,0.0,0.0,1.0,0.0
x10534y6863,0.0,0.0,0.0,1.0,0.0
x34y7363,0.0,0.0,0.0,0.0,1.0
x1034y7363,0.0,0.0,0.0,1.0,0.0
x1534y7363,0.0,0.0,0.0,1.0,0.0
x2034y7363,0.0,0.0,0.0,1.0,0.0
x3534y7363,0.0,0.0,0.568088070406244,0.277768888534465,0.15414304105929102
x4534y7363,0.2551897665640051,0.0,0.0,0.744810233435995,0.0
x5034y7363,0.5902132384610067,0.1304928438506746,0.023334035823152192,0.2559598818651666,0.0
x5534y7363,0.8295224687975356,0.0,0.0,0.17047753120246448,0.0
x6534y7363,0.0,0.0,0.0,1.0,0.0
x7034y7363,0.0,0.06814827492205984,0.06580310233415748,0.7202083976834359,0.14584022506034677
x7534y7363,0.10277742697728369,0.0,0.0,0.8972225730227162,0.0
