"","celltype"
"x2_35_1_bc3632","Astro"
"x2_35_3_bc1036","Astro"
"x2_98_4_1_1_bc2172","Astro"
"x2_58_0_1_bc1433","Astro"
"x2_52_1_1_bc1081","Astro"
"x2_94_1_1_2_bc0848","Astro"
"x2_94_1_2_bc1069","Astro"
"x2_52_1_2_bc1033","Astro"
"x2_98_1_1_bc1638","Astro"
"x2_52_1_2_bc2437","Astro"
"x2_52_0_2_bc1316","Astro"
"x2_52_1_2_bc1075","Astro"
"x2_52_1_2_bc1184","Astro"
"x2_94_4_1_1_bc0671","Astro"
"x2_94_4_1_1_bc0508","Astro"
"x2_35_1_bc4494","Astro"
"x2_98_4_1_1_bc2609","Astro"
"x2_41_1_1_bc1568","Astro"
"x2_52_0_1_bc2753","Astro"
"x2_35_1_bc2308","Astro"
"x2_35_1_bc1988","Astro"
"x2_98_4_2_1_bc0466","Astro"
"x2_58_0_1_bc2130","Astro"
"x2_75_0_2_bc0844","Astro"
"x2_52_0_1_bc1479","Astro"
"x2_98_1_1_bc0995","Astro"
"x2_52_3_2_bc2243","Astro"
"x2_98_4_2_1_bc1225","Astro"
"x2_52_0_2_bc0513","Astro"
"x2_35_1_bc2789","Astro"
"x2_41_1_1_bc1869","Astro"
"x2_94_1_2_bc1623","Astro"
"x2_52_0_2_bc1765","Astro"
"x2_52_0_2_bc0903","Astro"
"x2_75_0_2_bc1717","Astro"
"x2_98_1_1_bc0541","Astro"
"x2_98_4_2_2_bc1768","Astro"
"x2_98_1_1_bc1861","Astro"
"x2_35_0_bc1615","Astro"
"x2_35_1_bc2943","Astro"
"x2_35_1_bc1843","Astro"
"x2_58_0_2_bc0439","Astro"
"x2_35_1_bc0892","Astro"
"x2_75_0_1_bc0955","Astro"
"x2_75_0_1_bc1296","Astro"
"x2_41_1_1_bc2852","Astro"
"x2_52_3_1_bc2073","Astro"
"x2_52_1_2_bc1146","Astro"
"x2_52_3_2_bc1885","Astro"
"x2_94_1_2_bc0451","Astro"
"x2_52_3_2_bc2741","Astro"
"x2_41_1_1_bc2196","Astro"
"x2_52_1_2_bc0822","Astro"
"x2_94_4_2_1_bc1383","Astro"
"x2_98_4_1_1_bc0920","Astro"
"x2_41_1_1_bc1544","Astro"
"x2_98_4_1_2_bc2074","Astro"
"x2_98_4_1_1_bc1458","Astro"
"x2_41_1_1_bc1731","Astro"
"x2_52_1_1_bc0951","Astro"
"x2_35_0_bc2413","Astro"
"x2_35_1_bc2153","Astro"
"x2_52_3_2_bc1858","Astro"
"x2_35_1_bc3121","Astro"
"x2_98_4_2_1_bc0451","Astro"
"x2_35_0_bc2624","Astro"
"x2_35_1_bc1024","Astro"
"x2_94_4_1_1_bc0664","Astro"
"x2_98_4_2_1_bc0647","Astro"
"x2_52_3_2_bc1267","Astro"
"x2_94_4_2_2_bc1536","Astro"
"x2_41_1_1_bc2241","Astro"
"x2_98_1_1_bc0451","Astro"
"x2_35_3_bc1023","Astro"
"x2_58_0_2_bc1007","Astro"
"x2_94_1_1_1_bc0536","Astro"
"x2_75_0_1_bc2299","Astro"
"x2_52_0_2_bc0271","Astro"
"x2_35_3_bc0924","Astro"
"x2_58_0_1_bc0704","Astro"
"x2_94_1_1_1_bc0553","Astro"
"x2_75_0_1_bc0954","Astro"
"x2_52_0_1_bc1260","Astro"
"x2_41_1_1_bc2845","Astro"
"x2_52_0_2_bc0403","Astro"
"x2_58_0_1_bc1542","Astro"
"x2_35_3_bc1793","Astro"
"x2_98_1_1_bc1825","Astro"
"x2_41_1_1_bc3458","Astro"
"x2_94_1_2_bc1083","Astro"
"x2_94_1_2_bc0974","Astro"
"x2_52_0_2_bc0555","Astro"
"x2_35_1_bc4673","Astro"
"x2_41_1_1_bc2586","Astro"
"x2_52_0_1_bc1057","Astro"
"x2_75_0_4_bc0738","Astro"
"x2_41_1_1_bc3599","Astro"
"x2_98_4_2_2_bc1745","Astro"
"x2_52_1_2_bc0543","Astro"
"x2_52_0_2_bc1850","Astro"
"x2_52_1_2_bc1143","Astro"
