"","celltype"
"x2_94_4_1_2_bc0983","Astro"
"x2_35_1_bc1455","Astro"
"x2_52_1_1_bc1616","Astro"
"x2_35_1_bc3519","Astro"
"x2_52_3_1_bc1517","Astro"
"x2_35_3_bc2072","Astro"
"x2_58_0_1_bc1281","Astro"
"x2_98_4_2_2_bc1147","Astro"
"x2_35_3_bc2616","Astro"
"x2_58_0_1_bc1844","Astro"
"x2_98_4_2_1_bc0285","Astro"
"x2_35_3_bc3371","Astro"
"x2_35_0_bc2693","Astro"
"x2_52_3_2_bc2777","Astro"
"x2_41_1_1_bc3057","Astro"
"x2_98_4_2_2_bc1023","Astro"
"x2_58_0_2_bc1372","Astro"
"x2_98_4_1_1_bc1553","Astro"
"x2_41_1_1_bc3614","Astro"
"x2_52_1_1_bc1016","Astro"
"x2_58_0_2_bc0738","Astro"
"x2_58_0_2_bc0456","Astro"
"x2_58_0_2_bc1539","Astro"
"x2_52_1_1_bc0824","Astro"
"x2_58_0_2_bc0746","Astro"
"x2_98_4_2_1_bc0611","Astro"
"x2_41_1_1_bc1640","Astro"
"x2_52_0_1_bc2218","Astro"
"x2_35_3_bc1060","Astro"
"x2_94_4_1_2_bc0639","Astro"
"x2_52_1_2_bc1568","Astro"
"x2_94_1_2_bc0991","Astro"
"x2_75_0_2_bc0940","Astro"
"x2_94_4_1_1_bc0525","Astro"
"x2_52_1_2_bc1847","Astro"
"x2_52_3_1_bc1396","Astro"
"x2_98_4_2_2_bc0891","Astro"
"x2_98_4_1_1_bc0887","Astro"
"x2_52_0_1_bc1386","Astro"
"x2_35_3_bc2809","Astro"
"x2_35_3_bc1376","Astro"
"x2_35_1_bc3929","Astro"
"x2_58_0_1_bc3246","Astro"
"x2_52_3_2_bc1516","Astro"
"x2_52_3_2_bc1858","Astro"
"x2_35_1_bc1944","Astro"
"x2_41_1_1_bc1460","Astro"
"x2_35_1_bc2946","Astro"
"x2_52_3_2_bc1270","Astro"
"x2_94_4_2_1_bc0726","Astro"
"x2_52_1_2_bc1957","Astro"
"x2_35_1_bc2497","Astro"
"x2_98_4_2_1_bc0784","Astro"
"x2_41_1_1_bc3917","Astro"
"x2_35_1_bc2634","Astro"
"x2_35_3_bc0875","Astro"
"x2_94_1_1_2_bc0336","Astro"
"x2_75_0_1_bc1897","Astro"
"x2_58_0_1_bc1481","Astro"
