"","nCell"
"x8534y9363",5
"x9034y9363",4
"x9534y9363",2
"x10034y9363",6
"x10534y9363",2
"x34y9863",4
"x534y9863",4
"x1034y9863",2
"x1534y9863",5
"x2034y9863",3
"x2534y9863",1
"x3034y9863",2
"x3534y9863",1
"x4534y9863",5
"x5034y9863",3
"x5534y9863",1
"x6034y9863",3
"x6534y9863",3
"x7034y9863",4
"x7534y9863",4
"x8034y9863",2
"x8534y9863",2
"x9034y9863",4
"x9534y9863",4
"x10034y9863",2
"x10534y9863",4
"x34y10363",5
"x534y10363",3
"x1034y10363",4
"x1534y10363",7
"x2034y10363",5
"x2534y10363",5
"x3034y10363",4
"x3534y10363",1
"x4534y10363",4
"x5034y10363",3
"x5534y10363",3
"x6034y10363",1
"x6534y10363",4
"x7034y10363",3
"x7534y10363",1
"x8034y10363",4
"x8534y10363",2
"x9034y10363",3
"x9534y10363",3
"x10034y10363",6
"x10534y10363",2
"x34y10863",3
"x534y10863",5
"x1034y10863",4
"x1534y10863",4
"x2034y10863",5
"x2534y10863",7
"x3034y10863",5
"x3534y10863",2
"x4534y10863",3
"x5034y10863",2
"x5534y10863",2
"x6034y10863",3
"x6534y10863",2
"x7034y10863",4
"x7534y10863",1
"x8034y10863",1
"x8534y10863",4
"x9034y10863",3
"x9534y10863",2
"x10034y10863",2
"x10534y10863",2
"x34y11363",1
"x534y11363",4
"x1034y11363",4
"x1534y11363",2
"x2034y11363",5
"x2534y11363",3
"x3034y11363",4
"x3534y11363",3
"x4534y11363",2
"x5034y11363",4
"x5534y11363",1
"x6034y11363",3
"x6534y11363",3
"x7034y11363",3
"x7534y11363",1
"x8034y11363",2
"x8534y11363",3
"x9034y11363",2
"x9534y11363",2
"x10034y11363",4
"x10534y11363",2
"x34y11863",4
"x534y11863",3
"x1034y11863",3
"x1534y11863",3
"x2034y11863",3
"x2534y11863",6
"x3034y11863",1
"x3534y11863",2
"x4534y11863",4
"x5034y11863",1
"x5534y11863",2
"x6034y11863",2
"x6534y11863",4
"x7034y11863",3
"x8034y11863",3
"x8534y11863",3
"x9034y11863",2
"x9534y11863",3
"x10034y11863",2
"x10534y11863",2
"x34y12363",4
"x1034y12363",1
"x1534y12363",2
"x2034y12363",3
"x2534y12363",3
"x3034y12363",3
"x3534y12363",1
"x4534y12363",2
"x5034y12363",1
"x5534y12363",4
"x6034y12363",1
"x6534y12363",4
"x7034y12363",5
"x7534y12363",1
"x8034y12363",1
"x8534y12363",3
"x9034y12363",2
"x9534y12363",3
"x10034y12363",4
"x10534y12363",4
"x34y12863",2
"x534y12863",2
"x1034y12863",2
"x1534y12863",3
"x2034y12863",4
"x2534y12863",2
"x3034y12863",3
"x3534y12863",1
"x4534y12863",4
"x5034y12863",2
"x5534y12863",3
"x6034y12863",3
"x6534y12863",3
"x7034y12863",4
"x7534y12863",3
"x8034y12863",4
"x9034y12863",1
"x34y13363",1
"x534y13363",3
"x1034y13363",1
"x1534y13363",2
"x2034y13363",2
"x2534y13363",3
"x3034y13363",2
"x3534y13363",2
"x4534y13363",2
"x5034y13363",1
"x9034y13363",1
"x34y13863",1
"x534y13863",4
"x1034y13863",2
"x1534y13863",4
"x2034y13863",2
"x2534y13863",1
"x3034y13863",1
"x3534y13863",3
"x7034y13863",1
"x7534y13863",1
"x1034y14363",5
"x1534y14363",5
"x2034y14363",2
"x2534y14363",5
"x3034y14363",2
"x3534y14363",2
"x2034y14863",1
"x2534y14863",3
"x3034y14863",5
"x3034y15363",1
"x3534y15363",3
"x1534y15863",1
